Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista B 


19/11/2023 - Apex Timing GoKarts 4.42.01






19/11/2023 - 10:19


LP - AC - Final - CRG CENTURION


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;75;HUGO CARVALHIDO;14;;51.687;55.07
2;54;MARIO SILVA JR;14;0.332;51.762;55.04
3;68;PEDRO MOURA;14;1.980;51.793;54.92
4;73;JOAO PEDRO VIDEIRA;14;3.476;51.942;54.81
5;65;TIAGO MONTEIRO;14;5.558;52.004;54.65
6;61;CARLOS MOREIRA;14;9.402;52.133;54.37
7;53;ANDRE ANDRADE;14;9.937;52.140;54.33
8;72;JOAO PEREIRA;14;10.422;52.140;54.30
9;60;HUGO MARINHO;14;10.703;52.113;54.28
10;71;BRUNO FERNANDES;14;16.097;52.270;53.88
11;64;DIOGO CARVALHIDO;14;27.578;53.258;53.07
12;69;DIOGO SILVA;14;35.972;53.239;52.49
13;57;PEDRO FIGUEIRA;13;1 Volta;54.121;50.10
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;


Melhor volta : HUGO CARVALHIDO - 51.687 (55.72 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
75;HUGO CARVALHIDO;55.383;51.687;51.703;51.977;51.980;52.051;52.000;52.047;52.148;52.168;52.298
;;52.219;52.180;52.480;52.153;;;;;;;
54;MARIO SILVA JR;54.672;51.789;51.988;51.762;51.813;52.050;51.942;52.062;52.242;52.118;52.245
;;52.093;52.200;52.453;52.250;;;;;;;
68;PEDRO MOURA;54.488;51.860;52.164;51.793;52.121;51.910;51.969;52.152;52.242;52.133;52.288
;;52.117;52.293;52.360;52.441;;;;;;;
73;JOAO PEDRO VIDEIRA;53.664;52.559;52.039;52.011;52.121;51.942;52.070;51.965;52.086;52.320;52.263
;;52.024;52.218;52.293;52.379;;;;;;;
65;TIAGO MONTEIRO;54.066;52.004;52.699;52.145;52.101;52.289;52.188;52.324;52.363;52.680;52.548
;;52.508;52.930;52.636;52.750;;;;;;;
61;CARLOS MOREIRA;53.817;52.503;52.133;52.680;52.902;53.094;52.867;52.391;52.387;52.812;52.711
;;52.551;52.523;52.641;52.660;;;;;;;
53;ANDRE ANDRADE;54.027;52.215;52.477;52.140;52.989;53.640;52.309;52.320;53.129;52.480;52.713
;;52.594;52.520;52.672;52.476;;;;;;;
72;JOAO PEREIRA;54.297;52.153;52.140;52.426;53.836;53.199;52.926;52.668;53.203;52.266;52.835
;;52.765;52.696;52.589;52.536;;;;;;;
60;HUGO MARINHO;53.825;52.113;52.648;52.305;52.660;53.211;52.653;52.820;53.129;52.480;52.731
;;52.446;52.714;52.692;52.539;;;;;;;
71;BRUNO FERNANDES;54.230;52.699;52.270;52.637;52.765;52.809;52.602;53.085;52.930;53.348;53.105
;;53.105;52.903;53.601;54.492;;;;;;;
64;DIOGO CARVALHIDO;55.528;54.672;54.214;53.262;54.227;54.355;53.434;53.801;53.269;53.293;53.879
;;53.258;53.801;53.488;53.711;;;;;;;
69;DIOGO SILVA;54.898;54.981;54.757;53.239;53.801;54.398;54.711;54.320;53.758;57.598;54.459
;;54.367;53.902;54.086;53.617;;;;;;;
57;PEDRO FIGUEIRA;59.859;1:01.434;55.289;56.594;54.980;55.414;1:00.258;55.203;55.176;56.078;57.018
;;57.875;58.961;54.121;;;;;;;;










Dia : HUGO CARVALHIDO - 51.687


Semana : HUGO CARVALHIDO - 51.687


Mês : HUGO CARVALHIDO - 51.687


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : PAUL HUBERT GÉNEAU - 50.520
