Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista B 


19/11/2023 - Apex Timing GoKarts 4.42.01






19/11/2023 - 10:47


LP - BD - Final - CRG CENTURION


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;64;LUIS DUARTE;14;;52.270;54.58
2;63;JOAO MACHADO;14;1.293;52.226;54.48
3;75;MIGUEL BENTO;14;1.508;52.141;54.47
4;53;EDUARDO FAVILLA;14;1.867;52.434;54.44
5;65;MARCO SILVA;14;3.242;52.461;54.34
6;61;JOAO ARADA;14;3.863;52.500;54.30
7;60;RENATO BASTOS;14;7.574;52.726;54.03
8;55;JOAO PEROLA;14;9.519;52.598;53.89
9;72;CAMILO SILVA;14;10.527;52.472;53.81
10;73;GONÇALO LAGES;14;10.601;52.434;53.81
11;69;RICARDO FERNANDES;14;11.160;52.836;53.77
12;54;RODRIGO CIPRIANO;14;13.887;52.730;53.57
13;68;PEDRO LAMAS;14;22.762;53.571;52.95
14;71;FRANCISCO SANTOS;14;24.223;53.488;52.85
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;


Melhor volta : MIGUEL BENTO - 52.141 (55.23 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
64;LUIS DUARTE;54.395;52.621;52.969;52.503;52.270;52.551;52.496;52.500;52.539;52.441;52.676
;;52.559;52.433;52.516;52.676;;;;;;;
63;JOAO MACHADO;55.289;52.773;52.441;52.536;52.226;52.617;52.442;52.500;52.547;52.515;52.796
;;52.578;52.379;53.457;52.852;;;;;;;
75;MIGUEL BENTO;54.660;52.141;52.879;52.648;52.180;52.699;52.434;52.351;52.528;52.500;52.742
;;52.683;52.434;53.316;52.946;;;;;;;
53;EDUARDO FAVILLA;55.734;52.797;53.219;52.835;52.434;52.481;52.445;52.535;52.660;52.645;52.900
;;52.675;52.481;52.754;52.906;;;;;;;
65;MARCO SILVA;55.176;52.824;52.563;52.461;52.500;52.632;52.473;52.676;52.566;52.649;52.768
;;52.617;52.527;52.524;52.566;;;;;;;
61;JOAO ARADA;54.398;52.520;52.500;52.586;52.695;52.652;52.680;52.676;52.590;52.871;52.835
;;52.785;53.141;52.867;52.734;;;;;;;
60;RENATO BASTOS;55.132;52.829;53.324;52.726;53.032;52.785;52.949;52.863;52.836;53.024;53.066
;;52.875;53.078;52.734;52.750;;;;;;;
55;JOAO PEROLA;55.863;52.672;52.598;52.949;52.890;53.075;52.679;53.078;52.993;52.925;53.155
;;53.137;53.445;52.950;52.925;;;;;;;
72;CAMILO SILVA;56.461;52.472;53.571;52.578;52.965;53.086;52.863;53.168;52.972;52.649;53.331
;;53.125;54.199;53.422;53.113;;;;;;;
73;GONÇALO LAGES;55.707;52.961;53.039;53.043;52.828;52.860;52.773;53.090;52.906;52.434;53.189
;;52.742;53.941;53.504;52.820;;;;;;;
69;RICARDO FERNANDES;56.070;52.949;53.082;52.836;52.840;53.109;53.313;52.930;52.957;52.941;53.272
;;53.215;52.996;53.391;53.187;;;;;;;
54;RODRIGO CIPRIANO;56.656;53.926;52.809;53.113;52.730;53.582;53.039;53.266;52.957;53.121;53.402
;;52.961;53.363;52.950;53.168;;;;;;;
68;PEDRO LAMAS;56.257;53.782;54.300;53.696;53.640;53.770;54.000;53.680;53.855;54.277;54.041
;;53.918;53.571;53.937;53.899;;;;;;;
71;FRANCISCO SANTOS;55.847;54.336;53.778;54.132;53.887;53.488;53.817;53.871;53.988;53.938;54.098
;;53.801;53.640;54.766;54.094;;;;;;;










Dia : HUGO CARVALHIDO - 51.687


Semana : HUGO CARVALHIDO - 51.687


Mês : HUGO CARVALHIDO - 51.687


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : PAUL HUBERT GÉNEAU - 50.520
