Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista B 


19/11/2023 - Apex Timing GoKarts 4.42.01






19/11/2023 - 11:26


LP - FINAL A - Final - CRG CENTURION


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;57;HUGO CARVALHIDO;17;;51.515;54.80
2;63;LUIS DUARTE;17;0.898;51.692;54.74
3;75;PEDRO MOURA;17;1.242;52.094;54.72
4;69;CARLOS MOREIRA;17;6.152;52.113;54.42
5;68;JOAO VIDEIRA;17;6.953;52.192;54.38
6;54;MARCO SILVA;17;8.668;52.359;54.27
7;53;MARIO SILVA JR;17;9.289;52.324;54.24
8;71;TIAGO MONTEIRO;17;9.336;52.293;54.23
9;55;JOAO ARADA;17;10.410;52.227;54.17
10;73;JOAO MACHADO;17;10.726;52.051;54.15
11;61;MIGUEL BENTO;17;12.441;52.497;54.05
12;60;ANDRE ANDRADE;17;13.152;52.418;54.00
13;72;EDUARDO FAVILLA;17;13.738;52.246;53.97
14;64;RENATO BASTOS;17;18.262;52.640;53.70
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;


Melhor volta : HUGO CARVALHIDO - 51.515 (55.91 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
57;HUGO CARVALHIDO;55.070;52.075;51.515;52.113;52.735;52.324;52.215;51.637;51.812;51.969;52.331
;;52.027;51.953;51.899;52.078;52.199;52.309;53.703;;;;
63;LUIS DUARTE;55.632;52.637;51.692;51.765;52.422;52.289;53.164;51.813;51.996;52.094;52.407
;;52.191;52.035;51.930;52.273;52.266;52.359;52.375;;;;
75;PEDRO MOURA;55.235;52.488;52.094;52.265;52.360;52.230;52.239;52.300;52.223;52.547;52.530
;;52.242;52.297;52.488;52.770;52.625;52.383;52.230;;;;
69;CARLOS MOREIRA;54.574;52.504;52.426;52.449;52.274;52.578;52.113;52.574;52.371;52.473;52.629
;;52.957;52.633;52.648;52.457;52.391;52.898;52.383;;;;
68;JOAO VIDEIRA;56.602;53.113;52.192;52.535;52.605;52.489;53.878;53.598;52.715;52.391;52.964
;;52.394;52.633;52.629;52.484;52.696;52.679;52.762;;;;
54;MARCO SILVA;55.508;52.504;52.359;52.469;52.465;52.375;52.398;52.696;52.949;52.461;52.795
;;52.492;52.586;52.707;52.527;53.184;53.121;52.715;;;;
53;MARIO SILVA JR;55.278;53.910;52.484;52.375;52.395;52.324;52.422;52.867;52.902;52.582;52.918
;;52.504;52.508;52.594;52.723;53.261;53.703;52.774;;;;
71;TIAGO MONTEIRO;56.989;53.859;52.699;52.508;52.340;52.293;52.492;52.613;52.989;52.562;52.866
;;52.594;52.344;52.347;52.547;52.750;52.395;52.410;;;;
55;JOAO ARADA;54.809;53.246;52.390;52.227;52.793;52.602;52.660;52.765;52.477;52.734;52.818
;;52.762;52.445;52.598;52.680;53.242;52.746;52.746;;;;
73;JOAO MACHADO;55.172;52.152;52.051;52.696;52.273;52.984;53.383;53.211;52.281;52.364;52.727
;;52.515;52.688;52.543;52.515;52.442;52.461;52.636;;;;
61;MIGUEL BENTO;58.043;52.777;52.668;52.497;53.128;52.817;52.773;52.516;53.269;52.821;53.142
;;52.629;52.777;52.656;52.766;53.047;52.902;53.328;;;;
60;ANDRE ANDRADE;54.918;53.957;52.418;52.602;52.461;52.847;52.915;52.953;52.656;52.898;53.005
;;52.590;52.762;52.808;53.180;53.031;53.414;52.680;;;;
72;EDUARDO FAVILLA;1:02.133;52.320;52.246;53.156;52.606;52.699;52.246;52.422;52.738;52.364;53.281
;;52.500;53.093;52.492;53.180;53.168;53.649;52.769;;;;
64;RENATO BASTOS;55.148;53.844;52.695;53.438;52.640;53.133;53.090;53.000;53.199;53.368;53.290
;;53.250;53.148;53.238;53.102;53.137;53.152;53.348;;;;










Dia : HUGO CARVALHIDO - 51.515


Semana : HUGO CARVALHIDO - 51.515


Mês : HUGO CARVALHIDO - 51.515


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : PAUL HUBERT GÉNEAU - 50.520
