Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista B 


19/11/2023 - Apex Timing GoKarts 4.42.01






19/11/2023 - 11:50


LP - FINAL B - Final - CRG CENTURION


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;65;CAMILO SILVA;16;;52.438;54.05
2;53;HUGO MARINHO;16;7.629;52.836;53.57
3;68;JOAO PEREIRA;16;7.657;52.531;53.57
4;69;RODRIGO CIPRIANO;16;10.993;53.082;53.36
5;55;RICARDO FERNANDES;16;11.883;52.898;53.31
6;60;GONÇALO LAGES;16;15.352;53.008;53.09
7;54;DIOGO CARVALHIDO;16;15.930;53.007;53.06
8;57;PEDRO LAMAS;16;16.543;53.047;53.02
9;61;BRUNO FERNANDES;16;20.446;53.598;52.78
10;63;DIOGO SILVA;16;21.161;53.132;52.74
11;75;JOAO PEROLA;15;1 Volta;52.867;53.35
12;71;PEDRO FIGUEIRA;15;46.902;55.043;50.43
13;64;FRANCISCO SANTOS;9;7 Voltas;53.938;52.12
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;


Melhor volta : CAMILO SILVA - 52.438 (54.92 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
65;CAMILO SILVA;56.414;53.031;52.902;53.516;53.769;53.399;53.422;52.547;52.488;52.601;53.125
;;52.598;52.770;52.648;52.789;52.438;52.675;;;;;
53;HUGO MARINHO;55.680;52.859;53.121;54.367;53.606;53.359;55.024;52.921;52.961;52.977;53.566
;;53.074;52.836;53.059;52.976;53.512;54.738;;;;;
68;JOAO PEREIRA;55.543;52.825;53.144;53.461;53.172;53.297;55.539;53.512;52.816;52.531;53.497
;;53.063;52.847;53.098;53.391;52.972;54.743;;;;;
69;RODRIGO CIPRIANO;55.828;54.098;53.449;53.082;53.668;53.398;53.782;53.449;53.500;53.230;53.688
;;53.102;53.168;53.144;54.711;53.539;53.864;;;;;
55;RICARDO FERNANDES;56.765;53.293;53.262;53.902;53.547;53.641;57.211;53.429;53.403;54.254;53.959
;;52.898;53.039;53.215;53.547;53.496;54.453;;;;;
60;GONÇALO LAGES;57.336;53.578;54.082;53.531;53.824;53.008;55.090;53.449;53.508;57.676;54.142
;;53.207;54.183;53.364;53.429;53.531;53.481;;;;;
54;DIOGO CARVALHIDO;57.574;53.465;53.140;54.922;55.918;53.871;54.117;54.145;53.313;53.589;54.280
;;53.481;53.359;53.176;53.555;53.007;57.852;;;;;
57;PEDRO LAMAS;56.059;54.269;53.172;53.375;53.297;53.262;54.027;54.277;53.047;54.488;54.007
;;53.442;57.379;53.371;53.766;53.523;53.359;;;;;
61;BRUNO FERNANDES;57.746;55.480;53.985;54.558;53.801;54.207;53.840;53.855;53.711;53.848;54.414
;;54.980;53.598;53.762;54.312;54.203;54.743;;;;;
63;DIOGO SILVA;56.180;54.320;54.160;54.988;53.973;54.410;53.469;54.012;53.824;53.570;54.316
;;55.570;53.708;53.132;54.586;53.934;55.223;;;;;
75;JOAO PEROLA;56.718;53.293;53.180;53.262;53.179;53.082;55.289;53.618;54.328;54.164;53.757
;;52.922;52.867;52.875;54.070;53.520;;;;;;
71;PEDRO FIGUEIRA;57.313;56.375;1:01.723;55.043;55.406;55.215;55.121;1:00.918;55.289;57.551;56.748
;;55.820;56.648;55.129;55.899;57.773;;;;;;
64;FRANCISCO SANTOS;56.531;54.657;54.429;53.938;54.308;54.325;54.351;54.406;54.649;;54.621










Dia : HUGO CARVALHIDO - 51.515


Semana : HUGO CARVALHIDO - 51.515


Mês : HUGO CARVALHIDO - 51.515


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : PAUL HUBERT GÉNEAU - 50.520
