Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;57;HUGO CARVALHIDO;9;;;42.02;1:10.887;
2;69;LUIS FERNANDES;9;1.668;1.668;41.91;1:11.309;
3;53;PEDRO MOURA;9;6.480;4.812;41.61;1:11.801;
4;73;PEDRO SOARES;9;8.922;2.442;41.46;1:11.492;
5;72;TOMAS XAVIER;9;9.410;0.488;41.43;1:12.067;
6;52;HUGO MARINHO;9;11.254;1.844;41.31;1:13.012;
7;61;MARIO SILVA JR;9;11.289;0.035;41.31;1:11.887;
8;68;JOAO VIDEIRA;9;26.363;15.074;40.40;1:13.164;
9;70;MARCO SILVA;9;32.695;6.332;40.02;1:12.469;
10;63;RICARDO PASSOS;9;35.883;3.188;39.84;1:13.391;
11;71;FILIPE OLIVEIRA;9;35.996;0.113;39.83;1:13.820;
12;59;PEDRO NUNES;9;36.367;0.371;39.81;1:13.336;
13;55;RUBEN AZEVEDO;9;37.129;0.762;39.77;1:14.910;
14;62;XOEL RODRIGUEZ;9;37.941;0.812;39.72;1:13.207;
15;64;ALVARO BESSA;9;43.273;5.332;39.42;1:15.418;
16;65;BASTIEN ROUVIERE;9;44.484;1.211;39.35;1:15.195;
17;74;JORGE VIEIRA;9;51.105;6.621;38.98;1:16.199;
18;60;ANDRE BULHOSA;9;1:03.789;12.684;38.29;1:15.836;
19;75;DANIEL PINTO;9;1:13.359;9.570;37.79;1:15.695;
20;54;JOAO FORTUNA;9;1:14.902;1.543;37.71;1:16.098;
21;51;MIGUEL SOUSA;8;1 Volta;1 Volta;34.77;1:17.750;
Melhor volta : HUGO CARVALHIDO - 1:10.887 (43.17 km/h)


13/01/2024 - 10:13


AB - Final













Dia : HUGO CARVALHIDO - 1:10.887


Semana : HUGO CARVALHIDO - 1:10.887


Mês : HUGO CARVALHIDO - 1:10.887


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 1:10.887
