Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;58;JOAO BRITES;9;;;42.53;1:10.973;
2;60;LUIS DUARTE;9;7.852;7.852;42.02;1:11.680;
3;70;MIGUEL BENTO;9;8.809;0.957;41.96;1:11.656;
4;73;MARCO SILVA;9;10.340;1.531;41.86;1:11.785;
5;55;PEDRO SOARES;9;15.262;4.922;41.55;1:11.855;
6;68;ALVARO BESSA;9;18.375;3.113;41.36;1:12.500;
7;52;RICARDO PASSOS;9;19.512;1.137;41.29;1:12.379;
8;51;PEDRO NUNES;9;19.605;0.093;41.28;1:12.520;
9;62;JOAO LUCAS;9;28.219;8.614;40.76;1:13.434;
10;54;BASTIEN ROUVIERE;9;29.027;0.808;40.71;1:13.504;
11;53;JOAO PAIVA;9;30.246;1.219;40.63;1:13.758;
12;63;RUBEN AZEVEDO;9;31.406;1.160;40.57;1:13.437;
13;67;RUI CAMPOS;9;32.633;1.227;40.49;1:12.871;
14;74;ANDRE ANDRADE;9;32.672;0.039;40.49;1:12.645;
15;59;JOAO ARADA SOUSA;9;34.023;1.351;40.41;1:11.890;
16;65;JORGE VIEIRA;9;44.172;10.149;39.82;1:14.938;
17;57;MIGUEL SOUSA;9;45.102;0.930;39.76;1:14.921;
18;64;RENATO BASTOS;9;49.965;4.863;39.49;1:14.004;
19;61;FILIPE OLIVEIRA;9;52.789;2.824;39.33;1:12.824;
20;72;RICARDO CORTÊS;8;1 Volta;1 Volta;37.50;1:14.938;
Melhor volta : JOAO BRITES - 1:10.973 (43.11 km/h)


13/01/2024 - 11:13


AC - Final













Dia : HUGO CARVALHIDO - 1:10.887


Semana : HUGO CARVALHIDO - 1:10.887


Mês : HUGO CARVALHIDO - 1:10.887


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 1:10.887
