Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;62;LUIS DUARTE;9;;;42.19;1:11.136;
2;55;HUGO CARVALHIDO;9;3.933;3.933;41.94;1:11.457;
3;64;LUIS FERNANDES;9;8.746;4.813;41.63;1:12.293;
4;60;JOAO BRITES;9;9.886;1.140;41.56;1:12.829;
5;68;MARIO SILVA JR;9;9.953;0.067;41.56;1:11.856;
6;72;PEDRO MOURA;9;10.152;0.199;41.54;1:12.434;
7;65;JOAO VIDEIRA;9;12.023;1.871;41.43;1:11.859;
8;74;HUGO MARINHO;9;14.765;2.742;41.26;1:12.508;
9;61;TOMAS XAVIER;9;17.093;2.328;41.11;1:12.050;
10;52;JOAO LUCAS;9;33.996;16.903;40.10;1:13.211;
11;70;JOAO PAIVA;9;37.988;3.992;39.87;1:13.684;
12;63;JOAO ARADA SOUSA;9;38.996;1.008;39.81;1:13.542;
13;53;MIGUEL BENTO;9;53.937;14.941;38.97;1:14.094;
14;73;ANDRE ANDRADE;9;54.175;0.238;38.96;1:14.434;
15;69;RENATO BASTOS;9;58.039;3.864;38.75;1:14.742;
16;67;XOEL RODRIGUEZ;9;1:04.843;6.804;38.38;1:15.285;
17;58;RUI CAMPOS;9;1:13.847;9.004;37.90;1:16.782;
18;54;RICARDO CORTÊS;9;1:18.105;4.258;37.68;1:18.875;
19;51;JOAO FORTUNA;9;1:25.214;7.109;37.32;1:15.730;
20;57;ANDRE BULHOSA;8;1 Volta;1 Volta;33.58;1:15.262;
21;59;DANIEL PINTO;6;3 Voltas;2 Voltas;37.45;1:17.105;
Melhor volta : LUIS DUARTE - 1:11.136 (43.02 km/h)


13/01/2024 - 10:42


BC - Final













Dia : HUGO CARVALHIDO - 1:10.887


Semana : HUGO CARVALHIDO - 1:10.887


Mês : HUGO CARVALHIDO - 1:10.887


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 1:10.887
