Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;58;CARLOS MOREIRA;9;;;42.48;1:11.074;
2;57;RUI ALMEIDA;9;5.121;5.121;42.15;1:11.008;
3;69;RICARDO PEDROSO;9;12.719;7.598;41.66;1:12.399;
4;66;AFONSO CIDRAIS;9;16.234;3.515;41.44;1:12.547;
5;59;JP CAMPOS COSTA;9;25.340;9.106;40.88;1:13.926;
6;60;TOMAS PAIVA;9;25.793;0.453;40.85;1:13.285;
7;74;IVO BAPTISTA;9;34.926;9.133;40.31;1:14.574;
8;55;JAIME TEIXEIRA;9;48.910;13.984;39.50;1:15.719;
9;53;ANDRE COSTA;9;53.113;4.203;39.26;1:14.687;
10;72;PEPE;9;54.953;1.840;39.16;1:15.984;
11;67;RODRIGO TAVEIRA;9;59.481;4.528;38.91;1:14.214;
12;70;LUIS SOUSA;9;1:04.399;4.918;38.64;1:15.949;
13;62;JOÃO FARIA;9;1:10.609;6.210;38.31;1:16.371;
14;73;CARLOS AZEVEDO;8;1 Volta;1 Volta;37.65;1:16.265;
15;68;ALEXANDRE MEIRELES;8;1 Volta;5.691;37.32;1:17.816;
16;71;JOSE MIGUEL ALMEIDA;8;1 Volta;1.227;37.25;1:19.418;
17;63;PEDRO NEVES;8;1 Volta;4.988;36.97;1:18.852;
18;65;JOAO PINTO;8;1 Volta;5.641;36.66;1:19.778;
19;54;VIEIRA DA SILVA;8;1 Volta;2.136;36.54;1:18.872;
20;51;PEDRO SILVA;8;1 Volta;35.625;34.70;1:19.633;
21;52;FILIPE MAGALHAES;8;1 Volta;18.410;33.81;1:25.113;
22;61;ANDRE BRITO;7;2 Voltas;1 Volta;31.75;1:30.433;
Melhor volta : RUI ALMEIDA - 1:11.008 (43.09 km/h)


13/01/2024 - 11:45


DE - Final













Dia : HUGO CARVALHIDO - 1:10.887


Semana : HUGO CARVALHIDO - 1:10.887


Mês : HUGO CARVALHIDO - 1:10.887


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 1:10.887
