Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;62;TOMAS PAIVA;9;;;42.24;1:11.000;
2;72;RICARDO PEDROSO;9;1.500;1.500;42.14;1:11.609;
3;59;RUBEN COSTA;9;11.195;9.695;41.53;1:11.895;
4;74;CARLOS DUARTE;9;14.039;2.844;41.35;1:12.277;
5;58;RODRIGO TAVEIRA;9;29.019;14.980;40.44;1:12.679;
6;53;PEDRO ALVES;9;34.203;5.184;40.14;1:13.297;
7;63;JOÃO FARIA;9;36.199;1.996;40.02;1:15.074;
8;66;CARLOS AZEVEDO;9;37.965;1.766;39.92;1:14.832;
9;51;LUIS SOUSA;9;41.246;3.281;39.73;1:15.043;
10;73;JAIME TEIXEIRA;9;41.324;0.078;39.72;1:14.590;
11;57;ANTONIO OLIVEIRA;9;46.070;4.746;39.45;1:15.691;
12;70;AFONSO SERRANO;9;55.992;9.922;38.90;1:13.257;
13;54;JOAO PINTO;9;1:07.195;11.203;38.29;1:17.200;
14;55;SERGIO LADEIRA;9;1:07.543;0.348;38.28;1:15.093;
15;68;PEDRO NEVES;9;1:11.246;3.703;38.08;1:16.113;
16;65;DIOGO ALMEIDA;8;1 Volta;1 Volta;37.55;1:17.477;
17;61;MARTIM MAGALHAES;8;1 Volta;33.183;35.73;1:17.062;
18;67;ANDRE BRITO;8;1 Volta;10.426;35.19;1:23.246;
19;60;PEDRO SILVA;7;2 Voltas;1 Volta;32.16;1:17.985;
Melhor volta : TOMAS PAIVA - 1:11.000 (43.10 km/h)


13/01/2024 - 12:43


DF - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
