Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;70;RUI ALMEIDA;9;;;42.47;1:11.031;
2;73;AFONSO CIDRAIS;9;2.629;2.629;42.30;1:11.246;
3;57;CARLOS MOREIRA;9;12.804;10.175;41.65;1:10.317;
4;51;JP CAMPOS COSTA;9;33.214;20.410;40.40;1:12.848;
5;74;AFONSO SERRANO;9;38.062;4.848;40.12;1:14.036;
6;63;IVO BAPTISTA;9;39.593;1.531;40.03;1:13.676;
7;54;ANDRE COSTA;9;40.168;0.575;39.99;1:13.731;
8;61;PEDRO ALVES;9;45.781;5.613;39.67;1:15.785;
9;53;JOSE MIGUEL ALMEIDA;9;54.191;8.410;39.20;1:15.219;
10;52;VIEIRA DA SILVA;8;1 Volta;1 Volta;38.50;1:16.734;
11;69;SERGIO LADEIRA;8;1 Volta;8.925;37.96;1:16.086;
12;67;RUBEN COSTA;8;1 Volta;0.887;37.91;1:12.113;
13;72;ANTONIO OLIVEIRA;8;1 Volta;10.008;37.33;1:16.421;
14;62;ALEXANDRE MEIRELES;8;1 Volta;1.445;37.25;1:15.336;
15;68;DIOGO ALMEIDA;8;1 Volta;3.785;37.04;1:20.367;
16;55;MARTIM MAGALHAES;8;1 Volta;8.024;36.59;1:19.160;
17;71;CARLOS DUARTE;8;1 Volta;7.551;36.19;1:15.121;
18;65;FILIPE MAGALHAES;8;1 Volta;9.117;35.70;1:20.473;
Melhor volta : CARLOS MOREIRA - 1:10.317 (43.52 km/h)


13/01/2024 - 12:14


EF - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
