Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;62;GUILHERME PEREZ;9;;;42.08;1:11.516;
2;70;MARCO MONTENEGRO;9;3.875;3.875;41.83;1:12.355;
3;66;JOAO RADI;9;15.715;11.840;41.09;1:11.214;
4;53;LUIS POLICARPO;9;23.820;8.105;40.60;1:13.187;
5;73;GASPAR COUTO;9;28.094;4.274;40.34;1:14.313;
6;61;JOAO AFONSO PEREIRA;9;29.934;1.840;40.24;1:13.390;
7;54;RUBEN ALMEIDA;9;46.148;16.214;39.30;1:15.441;
8;52;JOAQUIM ABREU;9;46.781;0.633;39.27;1:15.106;
9;59;HELDER MOREIRA;9;49.039;2.258;39.14;1:15.766;
10;51;DIANA SANTOS;9;51.375;2.336;39.01;1:15.804;
11;55;LOURENÇO IGREJA;9;52.969;1.594;38.93;1:16.192;
12;68;CRISTIANO MONTEIRO;9;57.668;4.699;38.67;1:14.953;
13;57;MARIA FRANCISCA;9;1:09.051;11.383;38.06;1:17.782;
14;67;EMANUEL TEIXEIRA;9;1:09.805;0.754;38.02;1:15.399;
15;74;WILSON PEDROSA;8;1 Volta;1 Volta;37.10;1:16.879;
16;72;JONI FERREIRA;8;1 Volta;1.437;37.02;1:17.274;
17;58;DAVID COSTA;8;1 Volta;9.617;36.49;1:15.234;
18;63;LUCIANO FREIXEDELO;8;1 Volta;23.055;35.27;1:19.523;
19;71;BERNARDO RODRIGUES;8;1 Volta;17.559;34.40;1:18.196;
20;60;FABIO TORRES;8;1 Volta;7.801;34.03;1:23.133;
21;69;TIAGO GUEDES;8;1 Volta;0.933;33.99;1:19.461;
22;65;DIOGO SILVA;8;1 Volta;10.473;33.50;1:18.910;
Melhor volta : JOAO RADI - 1:11.214 (42.97 km/h)


13/01/2024 - 14:38


GH - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
