Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;65;LUIS POLICARPO;9;;;42.53;1:11.062;
2;58;GASPAR COUTO;9;0.312;0.312;42.51;1:10.457;
3;67;MARCO MONTENEGRO;9;5.851;5.539;42.15;1:11.398;
4;63;GUILHERME PEREZ;9;7.187;1.336;42.06;1:11.531;
5;54;OLAVO RIBEIRO;9;16.816;9.629;41.45;1:11.960;
6;70;JOAQUIM ABREU;9;17.285;0.469;41.42;1:12.496;
7;72;JOAO RADI;9;26.035;8.750;40.88;1:11.074;
8;71;DAVID COSTA;9;26.734;0.699;40.84;1:12.762;
9;68;HELDER MOREIRA;9;27.253;0.519;40.81;1:13.812;
10;55;MIGUEL FONSECA;9;36.718;9.465;40.24;1:13.754;
11;69;RICARDO SILVA;9;38.953;2.235;40.11;1:13.746;
12;59;EDUARDO CUSTODIA;9;41.242;2.289;39.98;1:13.961;
13;53;JOAO PESTANA;9;43.644;2.402;39.84;1:14.562;
14;57;MARIA FRANCISCA;8;1 Volta;1 Volta;38.80;1:15.777;
15;62;DIANA SANTOS;8;1 Volta;2.480;38.65;1:14.133;
16;52;DIOGO MACHADO;8;1 Volta;2.860;38.47;1:16.906;
17;61;NICOLAS PEQUIM;8;1 Volta;3.871;38.24;1:16.344;
18;73;JONI FERREIRA;8;1 Volta;8.511;37.74;1:16.235;
19;51;NUNO MOREIRA;8;1 Volta;8.192;37.27;1:16.418;
20;66;FILIPE MONTEIRO;8;1 Volta;7.265;36.86;1:15.867;
21;60;FABIO RAMIRO;8;1 Volta;3.840;36.65;1:18.129;
22;74;JOAO COUTINHO;1;8 Voltas;7 Voltas;27.02;1:46.668;
Melhor volta : GASPAR COUTO - 1:10.457 (43.43 km/h)


13/01/2024 - 15:36


GI - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
