Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;57;JOAO AFONSO PEREIRA;9;;;41.37;1:12.442;
2;66;CRISTIANO MONTEIRO;9;14.508;14.508;40.49;1:13.613;
3;53;LOURENÇO IGREJA;9;16.653;2.145;40.36;1:14.800;
4;65;RUBEN ALMEIDA;9;21.344;4.691;40.09;1:13.625;
5;69;OLAVO RIBEIRO;9;32.133;10.789;39.47;1:14.125;
6;59;EMANUEL TEIXEIRA;9;45.504;13.371;38.72;1:14.191;
7;61;EDUARDO CUSTODIA;9;51.985;6.481;38.37;1:15.860;
8;73;NUNO MOREIRA;9;1:02.266;10.281;37.83;1:16.996;
9;72;FILIPE MONTEIRO;9;1:05.012;2.746;37.69;1:14.836;
10;60;DIOGO SILVA;9;1:10.426;5.414;37.41;1:19.141;
11;74;RICARDO SILVA;9;1:13.536;3.110;37.25;1:15.887;
12;71;DIOGO MACHADO;9;1:14.438;0.902;37.21;1:19.668;
13;51;WILSON PEDROSA;9;1:15.914;1.476;37.14;1:16.226;
14;68;JOAO COUTINHO;9;1:18.063;2.149;37.03;1:18.274;
15;63;LUCIANO FREIXEDELO;9;1:18.579;0.516;37.00;1:16.586;
16;58;BERNARDO RODRIGUES;9;1:20.289;1.710;36.92;1:15.688;
17;70;MIGUEL FONSECA;8;1 Volta;1 Volta;36.64;1:14.089;
18;54;JOAO PESTANA;8;1 Volta;8.429;36.18;1:15.898;
19;67;TIAGO GUEDES;8;1 Volta;0.465;36.16;1:17.403;
20;62;FABIO TORRES;8;1 Volta;18.156;35.21;1:19.187;
21;52;NICOLAS PEQUIM;7;2 Voltas;1 Volta;33.63;1:18.781;
22;55;FABIO RAMIRO;7;2 Voltas;1:48.157;28.75;1:20.304;
Melhor volta : JOAO AFONSO PEREIRA - 1:12.442 (42.24 km/h)


13/01/2024 - 15:07


HI - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
