Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;52;FERNANDO GOMES;9;;;42.64;1:10.739;
2;69;LORENZO SCANFERLA;9;2.730;2.730;42.46;1:10.742;
3;73;FREDERICO BRITO;9;14.035;11.305;41.74;1:12.105;
4;61;ROBERTO BARBOSA;9;20.160;6.125;41.35;1:12.246;
5;59;DIOGO MADALENO;9;25.656;5.496;41.01;1:11.785;
6;63;RICARDO FONTAO;9;26.969;1.313;40.93;1:13.164;
7;67;VASCO VINHAS;9;27.027;0.058;40.93;1:13.375;
8;62;NIKITA SIMONOV;9;31.027;4.000;40.69;1:13.567;
9;54;JOAO OLIVEIRA;9;41.484;10.457;40.07;1:14.394;
10;66;JOAO SOARES;9;54.222;12.738;39.34;1:15.590;
11;51;NUNO BARBOSA;9;54.476;0.254;39.33;1:14.840;
12;68;ORLANDO FONTAO;9;54.859;0.383;39.30;1:14.508;
13;72;JOAO MOREIRA;8;1 Volta;1 Volta;37.78;1:18.414;
14;71;PEDRO GRANJA-CORTES;8;1 Volta;11.652;37.11;1:18.371;
15;55;VICTOR FIORAVANTE;8;1 Volta;4.469;36.86;1:19.636;
16;70;JOAO PAULO ALMEIDA;8;1 Volta;0.664;36.82;1:13.628;
17;60;ROGERIO TELES;8;1 Volta;28.445;35.31;1:19.883;
Melhor volta : FERNANDO GOMES - 1:10.739 (43.26 km/h)


13/01/2024 - 16:09


JK - Final













Dia : CARLOS MOREIRA - 1:10.317


Semana : CARLOS MOREIRA - 1:10.317


Mês : CARLOS MOREIRA - 1:10.317


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : CARLOS MOREIRA - 1:10.317
