Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;57;JORGE MAIA;9;;;43.85;1:08.809;
2;59;CARLOS MONTEIRO;9;11.257;11.257;43.07;1:09.973;
3;68;FERNANDO GOMES;9;14.066;2.809;42.89;1:09.566;
4;51;RICARDO FONTAO;9;23.117;9.051;42.29;1:11.391;
5;71;ROBERTO BARBOSA;9;29.101;5.984;41.90;1:11.625;
6;73;PEDRO JALES;9;57.054;27.953;40.19;1:14.227;
7;72;MANUEL DE OLIVEIRA;9;1:03.304;6.250;39.83;1:14.605;
8;70;BRUNO ROQUE;9;1:03.363;0.059;39.83;1:12.891;
9;63;JOAO PAULO ALMEIDA;9;1:07.304;3.941;39.60;1:12.226;
10;66;ALICE FERREIRA;9;1:13.738;6.434;39.24;1:11.746;
11;60;PEDRO GRANJA-CORTES;8;1 Volta;1 Volta;38.80;1:16.203;
12;67;NIKITA SIMONOV;8;1 Volta;7.090;38.36;1:15.082;
13;62;ORLANDO FONTAO;8;1 Volta;4.719;38.08;1:11.391;
14;52;ANTONIO CASTELO;8;1 Volta;47.664;35.45;1:14.254;
15;56;MARTIM SA FERREIRA;8;1 Volta;28.300;34.06;1:14.000;
Melhor volta : JORGE MAIA - 1:08.809 (44.47 km/h)


13/01/2024 - 17:09


JL - Final













Dia : JORGE MAIA - 1:08.809


Semana : JORGE MAIA - 1:08.809


Mês : JORGE MAIA - 1:08.809


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : JORGE MAIA - 1:08.809
