Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - Pista A


13/01/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;73;JORGE MAIA;9;;;42.61;1:10.816;
2;51;LORENZO SCANFERLA;9;1.574;1.574;42.51;1:09.968;
3;68;CARLOS MONTEIRO;9;12.832;11.258;41.78;1:12.105;
4;63;DIOGO MADALENO;9;19.613;6.781;41.36;1:11.262;
5;57;VASCO VINHAS;9;19.918;0.305;41.34;1:12.657;
6;67;FREDERICO BRITO;9;25.102;5.184;41.02;1:13.144;
7;70;JOAO SOARES;9;25.902;0.800;40.97;1:12.699;
8;59;ALICE FERREIRA;9;36.707;10.805;40.32;1:12.074;
9;54;MARTIM SA FERREIRA;9;50.879;14.172;39.50;1:14.492;
10;72;MANUEL DE OLIVEIRA;9;52.051;1.172;39.44;1:16.246;
11;60;JOAO OLIVEIRA;9;1:02.594;10.543;38.85;1:15.039;
12;52;ANTONIO CASTELO;9;1:04.836;2.242;38.73;1:15.109;
13;66;PEDRO JALES;9;1:08.707;3.871;38.52;1:15.277;
14;69;VICTOR FIORAVANTE;9;1:15.555;6.848;38.15;1:16.726;
15;56;BRUNO ROQUE;8;1 Volta;1 Volta;36.51;1:14.015;
16;71;JOAO MOREIRA;7;2 Voltas;1 Volta;32.57;1:18.391;
17;61;NUNO BARBOSA;4;5 Voltas;3 Voltas;38.58;1:15.754;
Melhor volta : LORENZO SCANFERLA - 1:09.968 (43.73 km/h)


13/01/2024 - 16:41


KL - Final













Dia : LORENZO SCANFERLA - 1:09.968


Semana : LORENZO SCANFERLA - 1:09.968


Mês : LORENZO SCANFERLA - 1:09.968


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 1:09.968
