Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo
1;20;GUSTAVO GONÇALVES;11;;;68.32;58.127;;;10:47.470
2;9;HUGO CARVALHIDO;11;0.132;0.132;68.30;58.304;;;10:47.602
3;4;JOAO VIDEIRA;11;0.396;0.264;68.28;58.129;;;10:47.866
4;7;PEDRO MOURA;11;0.484;0.088;68.27;58.415;;;10:47.954
5;11;FILIPE OLIVEIRA;11;1.712;1.228;68.14;58.309;;;10:49.182
6;15;ANDRE ANDRADE;11;1.777;0.065;68.13;57.994;;;10:49.247
7;19;PEDRO SOARES;11;2.081;0.304;68.10;58.011;;;10:49.551
8;5;TOMAS XAVIER;11;4.006;1.925;67.90;58.414;;;10:51.476
9;16;LUIS CUNHA;11;4.846;0.840;67.81;58.518;;;10:52.316
10;3;RICARDO PASSOS;11;5.368;0.522;67.76;58.406;;;10:52.838
11;21;RICARDO PEDROSO;11;5.418;0.050;67.75;58.300;;;10:52.888
12;22;LUIS FERNANDES;11;5.764;0.346;67.71;58.324;;;10:53.234
13;8;ALVARO BESSA;11;6.068;0.304;67.68;58.525;;;10:53.538
14;10;RENATO BASTOS;11;9.741;3.673;67.30;57.968;;10.000;10:57.211
15;6;BASTIEN ROUVIERE;11;11.087;1.346;67.17;58.654;;;10:58.557
16;17;RODRIGO CIPRIANO;11;11.364;0.277;67.14;58.540;;;10:58.834
17;13;RUBEN AZEVEDO;11;12.429;1.065;67.03;59.068;;;10:59.899
18;18;BRUNO MARTINS;11;13.986;1.557;66.87;58.887;;;11:01.456
19;2;DIOGO SILVA;11;14.299;0.313;66.84;59.000;;;11:01.769
20;14;FILIPE BENTO;11;14.577;0.278;66.81;59.052;;;11:02.047
21;12;DIOGO ABRANTES;11;27.856;13.279;65.50;59.999;;;11:15.326
22;1;DIOGO MACHADO;11;28.414;0.558;65.44;1:00.000;;;11:15.884
Melhor volta : RENATO BASTOS - 57.968 (69.37 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:13;RENATO BASTOS;10.000;TOQUE


03/02/2024 - 10:08


CM CUP A+B - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
