Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo
1;10;LUIS FERNANDES;11;;;68.51;58.292;;10:45.653
2;1;PEDRO MOURA;11;6.485;6.485;67.83;58.709;;10:52.138
3;8;PEDRO SOARES;11;6.599;0.114;67.82;58.659;;10:52.252
4;17;FILIPE OLIVEIRA;11;6.916;0.317;67.78;58.718;;10:52.569
5;18;RICARDO PEDROSO;11;7.025;0.109;67.77;58.613;;10:52.678
6;15;LUIS CUNHA;11;7.418;0.393;67.73;58.610;;10:53.071
7;11;JOÃO LUCAS;11;10.224;2.806;67.44;58.741;;10:55.877
8;4;JOÃO BARROS LEITE;11;10.875;0.651;67.37;58.822;;10:56.528
9;9;ALVARO BESSA;11;12.786;1.911;67.18;58.795;;10:58.439
10;5;ALBERTO FERNANDES;11;13.663;0.877;67.09;58.752;;10:59.316
11;12;MIGUEL BENTO;11;14.402;0.739;67.01;59.001;;11:00.055
12;14;HUGO MARINHO;11;14.518;0.116;67.00;58.625;;11:00.171
13;16;BASTIEN ROUVIERE;11;14.909;0.391;66.96;58.980;;11:00.562
14;22;MIGUEL COSTA;11;18.860;3.951;66.56;59.198;;11:04.513
15;19;RUI CAMPOS;11;18.939;0.079;66.56;59.126;;11:04.592
16;21;DIOGO SILVA;11;24.564;5.625;66.00;59.587;;11:10.217
17;13;HUGO OLIVEIRA;11;26.383;1.819;65.82;59.672;;11:12.036
18;3;VITOR MARQUES;11;26.543;0.160;65.80;59.208;;11:12.196
19;6;RUBEN AZEVEDO;11;27.394;0.851;65.72;59.597;;11:13.047
20;2;MIGUEL FONSECA;11;27.706;0.312;65.69;59.876;;11:13.359
21;20;JOÃO FARIA;9;2 Voltas;2 Voltas;54.45;59.038;;11:04.641
22;7;BRUNO MARTINS;2;9 Voltas;7 Voltas;62.83;1:01.749;;2:08.005
Melhor volta : LUIS FERNANDES - 58.292 (68.98 km/h)


03/02/2024 - 11:12


CM CUP A+C - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
