Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo
1;18;HUGO CARVALHIDO;11;;;68.50;58.041;;10:45.706
2;10;ANDRE ANDRADE;11;0.016;0.016;68.50;58.037;;10:45.722
3;3;HUGO MARINHO;11;4.144;4.128;68.07;58.225;;10:49.850
4;11;MIGUEL BENTO;11;4.258;0.114;68.05;58.435;;10:49.964
5;20;JOAO VIDEIRA;11;4.450;0.192;68.03;58.513;;10:50.156
6;17;GUSTAVO GONÇALVES;11;7.126;2.676;67.76;58.525;;10:52.832
7;19;TOMAS XAVIER;11;7.228;0.102;67.75;58.430;;10:52.934
8;2;FILIPE BENTO;11;7.689;0.461;67.70;58.282;;10:53.395
9;6;RENATO BASTOS;11;7.738;0.049;67.69;58.500;;10:53.444
10;5;RODRIGO CIPRIANO;11;9.583;1.845;67.50;58.678;;10:55.289
11;7;RICARDO PASSOS;11;9.758;0.175;67.48;58.609;;10:55.464
12;13;MIGUEL COSTA;11;9.809;0.051;67.48;58.538;;10:55.515
13;16;JOÃO BARROS LEITE;11;10.458;0.649;67.41;58.865;;10:56.164
14;14;JOÃO LUCAS;11;13.248;2.790;67.13;59.112;;10:58.954
15;8;RUI CAMPOS;11;13.363;0.115;67.11;58.941;;10:59.069
16;21;JOÃO FARIA;11;13.959;0.596;67.05;58.889;;10:59.665
17;1;VITOR MARQUES;11;14.254;0.295;67.02;59.052;;10:59.960
18;12;ALBERTO FERNANDES;11;17.914;3.660;66.65;59.251;;11:03.620
19;9;HUGO OLIVEIRA;11;20.932;3.018;66.35;59.703;;11:06.638
20;4;DIOGO ABRANTES;11;26.714;5.782;65.78;59.989;;11:12.420
21;15;MIGUEL FONSECA;11;26.736;0.022;65.78;59.854;;11:12.442
22;22;DIOGO MACHADO;11;32.751;6.015;65.20;1:00.786;;11:18.457
Melhor volta : ANDRE ANDRADE - 58.037 (69.29 km/h)


03/02/2024 - 10:40


CM CUP B+C - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
