Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo
1;13;MARIO SILVA JR;11;;;67.81;58.704;;10:52.297
2;7;AFONSO CIDRAIS;11;0.297;0.297;67.78;58.575;;10:52.594
3;19;RUI ALMEIDA;11;0.335;0.038;67.78;58.695;;10:52.632
4;8;JP CAMPOS COSTA;11;6.127;5.792;67.18;59.366;;10:58.424
5;18;ANDRE COSTA;11;6.225;0.098;67.17;59.153;;10:58.522
6;4;TOMAS PAIVA;11;6.615;0.390;67.13;59.139;;10:58.912
7;11;JOÃO PEDRO SOARES;11;7.463;0.848;67.04;59.046;;10:59.760
8;6;PEDRO CONCEIÇÃO;11;11.343;3.880;66.65;59.238;;11:03.640
9;1;SERGIO LADEIRA;11;12.027;0.684;66.58;59.411;;11:04.324
10;14;DIOGO COSTA;11;12.798;0.771;66.51;59.433;;11:05.095
11;15;PEPE;11;12.989;0.191;66.49;59.351;;11:05.286
12;21;PEDRO ALVES;11;16.624;3.635;66.13;59.631;;11:08.921
13;17;DIOGO MADALENO;11;18.360;1.736;65.96;59.973;;11:10.657
14;3;ALEXANDRE MEIRELES;11;18.513;0.153;65.94;59.629;;11:10.810
15;22;DANIEL PINTO;11;19.718;1.205;65.82;59.979;;11:12.015
16;5;RUBEN ALMEIDA;11;20.453;0.735;65.75;59.753;;11:12.750
17;20;CRISTIANO MONTEIRO;11;20.989;0.536;65.70;1:00.122;;11:13.286
18;10;JOSE MIGUEL ALMEIDA;11;25.728;4.739;65.24;1:00.342;;11:18.025
19;16;PEDRO SILVA ;11;30.211;4.483;64.81;1:00.366;;11:22.508
20;2;FILIPE MAGALHAES;11;30.474;0.263;64.78;1:00.831;;11:22.771
21;12;IVO BAPTISTA;11;36.702;6.228;64.20;1:00.641;;11:28.999
Melhor volta : AFONSO CIDRAIS - 58.575 (68.65 km/h)


03/02/2024 - 11:44


CM CUP D+E - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
