Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo
1;16;LUIS DUARTE;11;;;68.00;58.805;;10:50.514
2;2;JOÃO BRITES;11;0.081;0.081;67.99;58.806;;10:50.595
3;8;CARLOS MOREIRA;11;0.232;0.151;67.97;58.787;;10:50.746
4;10;MARIO SILVA JR;11;0.325;0.093;67.96;58.521;;10:50.839
5;4;JOÃO MACHADO;11;8.530;8.205;67.12;59.393;;10:59.044
6;18;PEDRO CONCEIÇÃO;11;8.580;0.050;67.11;59.276;;10:59.094
7;1;TOMAS PAIVA;11;8.900;0.320;67.08;59.289;;10:59.414
8;9;AFONSO SERRANO;11;13.246;4.346;66.64;59.405;;11:03.760
9;3;OLAVO RIBEIRO;11;13.798;0.552;66.58;59.576;;11:04.312
10;22;SERGIO LADEIRA;11;17.873;4.075;66.18;59.953;;11:08.387
11;7;PEDRO ALVES;11;18.518;0.645;66.12;59.829;;11:09.032
12;17;RICARDO SILVA;11;20.456;1.938;65.92;59.898;;11:10.970
13;12;JOÃO SOARES;11;20.649;0.193;65.91;59.933;;11:11.163
14;14;RUBEN ALMEIDA;11;20.756;0.107;65.89;59.940;;11:11.270
15;20;DANIEL PINTO;11;25.964;5.208;65.39;1:00.123;;11:16.478
16;21;PEDRO NEVES;11;28.836;2.872;65.11;1:00.643;;11:19.350
17;19;PEDRO SILVA ;11;29.227;0.391;65.07;1:00.573;;11:19.741
18;15;DIOGO MADALENO;11;29.848;0.621;65.01;1:00.584;;11:20.362
19;13;CARLOS DUARTE;11;29.976;0.128;65.00;1:00.495;;11:20.490
20;5;MARTIM FERREIRA;11;30.130;0.154;64.99;1:00.121;;11:20.644
21;11;CRISTIANO MONTEIRO;11;30.728;0.598;64.93;1:00.538;;11:21.242
22;6;FABIO RAMIRO;11;34.567;3.839;64.57;1:01.289;;11:25.081
Melhor volta : MARIO SILVA JR - 58.521 (68.71 km/h)


03/02/2024 - 12:47


CM CUP D+F - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
