Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo
1;18;AFONSO CIDRAIS;11;;;68.01;58.530;;;10:50.429
2;10;RUI ALMEIDA;11;0.404;0.404;67.96;58.348;;;10:50.833
3;21;JOÃO BRITES;11;0.696;0.292;67.93;58.431;;;10:51.125
4;13;JOÃO MACHADO;11;0.908;0.212;67.91;58.429;;;10:51.337
5;19;LUIS DUARTE;11;0.918;0.010;67.91;58.425;;;10:51.347
6;20;CARLOS MOREIRA;11;2.517;1.599;67.74;58.806;;;10:52.946
7;9;JP CAMPOS COSTA;11;7.750;5.233;67.21;59.320;;;10:58.179
8;17;ANDRE COSTA;11;10.805;3.055;66.89;59.599;;;11:01.234
9;15;AFONSO SERRANO;11;12.620;1.815;66.71;59.461;;;11:03.049
10;6;PEPE;11;12.853;0.233;66.69;59.379;;;11:03.282
11;7;DIOGO COSTA;11;16.960;4.107;66.28;59.586;;;11:07.389
12;8;IVO BAPTISTA;11;17.012;0.052;66.27;59.912;;;11:07.441
13;1;PEDRO NEVES;11;22.525;5.513;65.73;1:00.370;;;11:12.954
14;2;MARTIM SA FERREIRA;11;22.965;0.440;65.69;1:00.228;;;11:13.394
15;11;ALEXANDRE MEIRELES;11;24.506;1.541;65.54;1:00.350;;;11:14.935
16;14;OLAVO RIBEIRO;11;25.081;0.575;65.48;59.336;;8.000;11:15.510
17;5;RICARDO SILVA;11;27.299;2.218;65.27;1:00.478;;;11:17.728
18;16;CARLOS DUARTE;11;35.011;7.712;64.53;1:01.213;;;11:25.440
19;12;JOSE MIGUEL ALMEIDA;11;35.776;0.765;64.46;1:00.727;;;11:26.205
20;4;FILIPE MAGALHAES;11;40.495;4.719;64.02;1:01.146;;;11:30.924
21;3;FABIO RAMIRO;11;41.702;1.207;63.91;1:00.953;;;11:32.131
Melhor volta : RUI ALMEIDA - 58.348 (68.92 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:20;OLAVO RIBEIRO;8.000;TOQUE


03/02/2024 - 12:14


CM CUP E+F - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
