Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo
1;8;ADAN MIRA;11;;;67.71;59.027;;;10:53.269
2;7;GUILHERME PEREZ;11;0.185;0.185;67.69;58.846;;;10:53.454
3;15;LUIS POLICARPO;11;6.143;5.958;67.08;59.457;;;10:59.412
4;12;GASPAR COUTO;11;6.225;0.082;67.07;59.392;;;10:59.494
5;19;JOÃO MOTA;11;11.722;5.497;66.52;59.766;;;11:04.991
6;4;ANTONIO OLIVEIRA;11;15.665;3.943;66.12;1:00.061;;;11:08.934
7;17;PEDRO PEREIRA;11;15.912;0.247;66.10;59.636;;;11:09.181
8;2;ORLANDO FONTAO;11;16.306;0.394;66.06;59.773;;;11:09.575
9;9;RICARDO FONTAO;11;16.429;0.123;66.05;59.574;;;11:09.698
10;11;TIAGO LA FERIA;11;16.572;0.143;66.04;59.337;;;11:09.841
11;10;DIANA SANTOS;11;18.729;2.157;65.82;59.944;;;11:11.998
12;14;EMANUEL TEIXEIRA;11;18.782;0.053;65.82;59.959;;;11:12.051
13;16;HELDER COUTINHO;11;22.349;3.567;65.47;1:00.148;;;11:15.618
14;6;DAVID COSTA;11;22.995;0.646;65.41;1:00.341;;;11:16.264
15;5;JOAQUIM ABREU;11;23.923;0.928;65.32;1:00.258;;3.000;11:17.192
16;21;JONI FERREIRA;11;24.121;0.198;65.30;1:00.260;;;11:17.390
17;22;TIAGO GUEDES;11;25.851;1.730;65.13;1:00.336;;;11:19.120
18;13;CARLOS AZEVEDO;11;36.606;10.755;64.12;1:00.809;;;11:29.875
19;1;FILIPE MONTEIRO;11;42.787;6.181;63.55;1:01.623;;;11:36.056
20;18;JOÃO PINTO;11;42.958;0.171;63.53;1:01.719;;;11:36.227
21;20;WILSON PEDROSA;11;44.122;1.164;63.43;1:01.587;;;11:37.391
22;3;MARIA FRANCISCA;11;52.932;8.810;62.64;1:02.621;;;11:46.201
Melhor volta : GUILHERME PEREZ - 58.846 (68.33 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:11;JOAQUIM ABREU;3.000;TOQUE


03/02/2024 - 14:35


CM CUP G+H - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
