Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo
1;17;MARCO SILVA;11;;;67.66;59.169;;;10:53.740
2;9;IVAN CARDOSO;11;7.139;7.139;66.93;59.409;;;11:00.879
3;2;DINIS ALMEIDA;11;7.297;0.158;66.91;59.386;;;11:01.037
4;15;JOÃO PAULO ALMEIDA;11;7.419;0.122;66.90;59.319;;;11:01.159
5;1;ROBERTO BARBOSA;11;8.356;0.937;66.81;59.552;;;11:02.096
6;6;HELDER MOREIRA;11;12.563;4.207;66.39;59.381;;;11:06.303
7;19;XOEL RODRIGUEZ;11;13.055;0.492;66.34;59.579;;;11:06.795
8;20;MIGUEL SOUSA;11;17.833;4.778;65.87;59.626;;;11:11.573
9;14;JOÃO SOUSA;11;19.525;1.692;65.70;1:00.127;;;11:13.265
10;3;FREDERICO BRITO;11;19.592;0.067;65.69;59.967;;;11:13.332
11;10;JAIME TEIXEIRA;11;20.060;0.468;65.65;59.983;;;11:13.800
12;12;RICARDO NETO;11;20.654;0.594;65.59;1:00.128;;;11:14.394
13;8;PEDRO GRANJA-CORTÊS;11;21.555;0.901;65.50;1:00.233;;;11:15.295
14;7;ALEXEY YACHMENEV;11;23.272;1.717;65.34;59.990;;;11:17.012
15;22;NIKITA SIMONOV;11;23.808;0.536;65.28;1:00.496;;;11:17.548
16;13;FERNANDO GOMES;11;27.486;3.678;64.93;59.658;;;11:21.226
17;5;ALICE FERREIRA;11;27.636;0.150;64.92;1:00.130;;11.000;11:21.376
18;16;JOÃO OLIVEIRA;11;29.502;1.866;64.74;1:00.536;;;11:23.242
19;4;GONÇALO MATIAS;11;30.145;0.643;64.68;1:00.162;;;11:23.885
20;11;VICTOR FIORAVANTE;11;38.455;8.310;63.90;1:01.120;;;11:32.195
21;21;LUCIANO FREIXEDELO;11;41.427;2.972;63.63;1:01.024;;;11:35.167
22;18;JOÃO MOREIRA;11;56.817;15.390;62.25;1:01.520;;;11:50.557
Melhor volta : MARCO SILVA - 59.169 (67.96 km/h)


03/02/2024 - 17:04


CM CUP J+L - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
