Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


03/02/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo
1;9;PEDRO NUNES;11;;;67.74;59.020;;10:52.955
2;17;CARLOS MONTEIRO;11;2.869;2.869;67.45;58.951;;10:55.824
3;5;JORGE MAIA;11;2.883;0.014;67.45;58.957;;10:55.838
4;22;MARCO SILVA;11;6.401;3.518;67.09;59.227;;10:59.356
5;13;JOÃO AFONSO PEREIRA;11;6.592;0.191;67.07;59.227;;10:59.547
6;14;ROBERTO BARBOSA;11;7.183;0.591;67.01;59.322;;11:00.138
7;6;IVAN CARDOSO;11;9.231;2.048;66.80;59.532;;11:02.186
8;1;ALICE FERREIRA;11;14.405;5.174;66.28;59.789;;11:07.360
9;11;XOEL RODRIGUEZ;11;14.496;0.091;66.27;59.817;;11:07.451
10;20;JORGE VIEIRA;11;15.709;1.213;66.15;59.985;;11:08.664
11;8;VASCO VINHAS;11;16.039;0.330;66.12;59.691;;11:08.994
12;7;FREDERICO BRITO;11;16.257;0.218;66.10;59.773;;11:09.212
13;2;DIOGO PEREIRA;11;16.835;0.578;66.04;59.699;;11:09.790
14;3;RICARDO NETO;11;19.452;2.617;65.78;1:00.302;;11:12.407
15;16;PEDRO GRANJA-CORTÊS;11;20.307;0.855;65.70;1:00.331;;11:13.262
16;4;EDUARDO CUSTODIA;11;24.888;4.581;65.26;59.564;;11:17.843
17;15;BERNARDO RODRIGUES;11;25.029;0.141;65.24;1:00.348;;11:17.984
18;10;ANTONIO CASTELO;11;28.392;3.363;64.92;1:00.687;;11:21.347
19;19;JOÃO OLIVEIRA;11;32.174;3.782;64.56;1:00.146;;11:25.129
20;18;ROGERIO TELES;11;32.476;0.302;64.53;1:01.076;;11:25.431
21;12;JOÃO MOREIRA;11;54.759;22.283;62.50;1:02.102;;11:47.714
22;21;VICTOR FIORAVANTE;11;56.402;1.643;62.36;1:02.786;;11:49.357
Melhor volta : CARLOS MONTEIRO - 58.951 (68.21 km/h)


03/02/2024 - 16:36


CM CUP K+L - Final













Dia : RENATO BASTOS - 57.968


Semana : KART 31 - 57.524


Mês : RENATO BASTOS - 57.968


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
