Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;65;LUIS DUARTE;9;;;43.51;1:09.746;;
2;64;JORGE MAIA;9;1.844;1.844;43.38;1:09.797;;
3;55;JOAO BRITES;9;5.340;3.496;43.15;1:09.129;;3.000
4;72;HUGO CARVALHIDO;9;9.336;3.996;42.88;1:10.246;;
5;70;CARLOS MOREIRA;9;9.567;0.231;42.86;1:09.437;;
6;71;PEDRO MOURA;9;9.829;0.262;42.85;1:09.562;;
7;63;LUIS FERNANDES;9;10.325;0.496;42.81;1:09.539;;
8;57;LORENZO SCANFERLA;9;10.497;0.172;42.80;1:09.598;;
9;74;CARLOS MONTEIRO;9;16.817;6.320;42.39;1:10.348;;
10;66;FERNANDO GOMES;9;16.977;0.160;42.37;1:09.856;;
11;54;JOAO AFONSO PEREIRA;9;18.911;1.934;42.25;1:10.687;;
12;75;TOMAS PAIVA;9;19.676;0.765;42.20;1:10.969;;
13;67;RICARDO PEDROSO;9;21.805;2.129;42.06;1:10.840;;
14;62;MARCO MONTENEGRO;9;27.950;6.145;41.67;1:11.355;;
15;61;GASPAR COUTO;9;30.633;2.683;41.50;1:11.148;;
16;56;GUILHERME PEREZ;9;31.012;0.379;41.48;1:10.801;;
17;68;PEDRO SOARES;9;31.422;0.410;41.45;1:10.844;;
18;58;LUIS POLICARPO;9;39.477;8.055;40.96;1:10.824;;
19;52;RUI ALMEIDA;9;39.586;0.109;40.95;1:10.320;;
Melhor volta : JOAO BRITES - 1:09.129 (44.27 km/h)


02/03/2024 - 10:07


AB  - Final













Dia : JOAO BRITES - 1:09.129


Semana : PEDRO MOURA - 1:00.156


Mês : PEDRO MOURA - 1:00.156


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
