Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;71;LUIS DUARTE;9;;;44.86;1:07.488;;
2;52;LUIS FERNANDES;9;8.606;8.606;44.24;1:08.004;;
3;75;RUI ALMEIDA;9;11.082;2.476;44.07;1:07.820;;
4;72;JOAO BRITES;9;11.520;0.438;44.04;1:07.672;;
5;57;PEDRO SOARES;9;12.531;1.011;43.96;1:08.133;;
6;63;HUGO CARVALHIDO;9;13.453;0.922;43.90;1:08.168;;
7;62;CARLOS MOREIRA;9;12.129;;43.99;1:08.309;;2 Posições
8;68;FERNANDO GOMES;9;16.414;4.285;43.69;1:08.851;;
9;61;JOAO AFONSO PEREIRA;9;17.063;0.649;43.65;1:08.687;;
10;56;LORENZO SCANFERLA;9;18.317;1.254;43.56;1:08.270;;
11;74;GASPAR COUTO;9;20.000;1.683;43.45;1:08.735;;
12;54;PEDRO MOURA;9;20.277;0.277;43.43;1:07.902;;
13;67;MARCO MONTENEGRO;9;21.336;1.059;43.35;1:08.039;;
14;58;JORGE MAIA;9;23.938;2.602;43.18;1:08.340;;
15;60;TOMAS PAIVA;9;26.117;2.179;43.03;1:08.750;;
16;64;GUILHERME PEREZ;9;26.301;0.184;43.02;1:08.457;;
17;70;LUIS POLICARPO;9;26.973;0.672;42.97;1:08.367;;
18;66;RICARDO PEDROSO;9;29.789;2.816;42.79;1:08.875;;
19;55;CARLOS MONTEIRO;9;40.008;10.219;42.12;1:09.152;;
Melhor volta : LUIS DUARTE - 1:07.488 (45.34 km/h)


02/03/2024 - 10:41


BA - Final













Dia : LUIS DUARTE - 1:07.488


Semana : PEDRO MOURA - 1:00.156


Mês : PEDRO MOURA - 1:00.156


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
