Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;60;RICARDO PASSOS;9;;;43.58;1:09.851;
2;65;GUSTAVO GONÇALVES;9;13.027;13.027;42.70;1:09.699;
3;63;JOAO PAIVA;9;15.906;2.879;42.51;1:10.972;
4;74;IVO BAPTISTA;9;19.730;3.824;42.26;1:10.324;
5;54;JOAO MACHADO;9;21.055;1.325;42.17;1:10.750;
6;61;JAIME TEIXEIRA;9;26.305;5.250;41.84;1:11.508;
7;64;LOURENÇO IGREJA;9;26.703;0.398;41.81;1:11.183;
8;56;TIAGO FERREIRA;9;30.101;3.398;41.60;1:12.114;
9;55;JOAO FARIA;9;34.180;4.079;41.34;1:12.430;
10;62;RUI CAMPOS;9;36.437;2.257;41.20;1:12.016;
11;70;FILIPE MAGALHAES;9;51.766;15.329;40.28;1:13.188;
12;71;ALEXANDRE MEIRELES;9;57.391;5.625;39.95;1:11.199;
13;72;IURRI AFANASEV;9;1:01.930;4.539;39.69;1:15.641;
14;75;PEDRO NEVES;9;1:04.539;2.609;39.54;1:10.961;
15;51;FABIO RAMIRO;8;1 Volta;1 Volta;37.56;1:14.976;
16;59;TIMUR KARBAYA;8;1 Volta;19.899;36.45;1:18.785;
17;67;ALEX OSTRIKOV;7;2 Voltas;1 Volta;33.53;1:18.219;
18;52;MIGUEL COSTA;6;3 Voltas;1 Volta;41.14;1:12.477;
Melhor volta : GUSTAVO GONÇALVES - 1:09.699 (43.90 km/h)


02/03/2024 - 11:45


EF - Final













Dia : LUIS DUARTE - 1:07.488


Semana : PEDRO MOURA - 1:00.156


Mês : PEDRO MOURA - 1:00.156


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
