Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;71;DINIS ALMEIDA;10;;;49.56;58.848;
2;62;RENATO BASTOS;10;1.336;1.336;49.45;58.922;
3;60;RUBEN ALMEIDA;10;6.304;4.968;49.05;58.105;
4;51;EDUARDO CUSTODIA;10;14.957;8.653;48.38;57.629;
5;68;ARMINDO FERREIRA;10;15.406;0.449;48.35;58.313;
6;61;DIANA SANTOS;10;22.527;7.121;47.81;58.879;
7;63;JORGE ALVES;10;36.312;13.785;46.80;59.004;
8;55;CARLOS AZEVEDO;10;36.500;0.188;46.79;59.953;
9;72;ANTONIO OLIVEIRA;10;39.984;3.484;46.54;1:00.250;
10;57;MARTIM MAGALHAES;10;48.769;8.785;45.93;58.586;
11;54;JOAO PINTO;10;52.121;3.352;45.70;1:00.383;
12;75;DIOGO MACHADO;10;54.160;2.039;45.56;1:00.109;
13;70;LUIS LEITE;10;1:03.324;9.164;44.95;1:00.051;
14;52;FLAVIO FERREIRA;10;1:05.769;2.445;44.79;1:00.281;
15;65;HELDER COUTINHO;10;1:06.945;1.176;44.71;1:01.035;
16;64;LUCIANO FREIXEDELO;10;1:08.441;1.496;44.61;1:02.000;
17;66;DIOGO ALMEIDA;10;1:09.340;0.899;44.55;1:02.879;
18;74;JOAO SOUSA;9;1 Volta;1 Volta;43.18;58.774;
19;67;FABIO TORRES;9;1 Volta;6.363;42.76;1:05.969;
20;56;FILIPE MONTEIRO;9;1 Volta;50.070;39.67;1:01.039;
Melhor volta : EDUARDO CUSTODIA - 57.629 (53.10 km/h)


02/03/2024 - 15:08


JK - Final













Dia : EDUARDO CUSTODIA - 57.629


Semana : EDUARDO CUSTODIA - 57.629


Mês : EDUARDO CUSTODIA - 57.629


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
