Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;74;JOAO LUCAS;9;;;42.74;1:10.465;
2;60;RENATO BASTOS;9;3.887;3.887;42.49;1:10.625;
3;56;IVAN CARDOSO;9;4.703;0.816;42.43;1:10.316;
4;70;TIAGO LA FERIA;9;15.805;11.102;41.72;1:10.254;
5;62;CRISTIANO MONTEIRO;9;22.547;6.742;41.30;1:11.324;
6;66;MIGUEL FONSECA;9;27.617;5.070;40.99;1:11.812;
7;64;EDUARDO CUSTODIA;9;31.148;3.531;40.77;1:10.984;
8;67;CARLOS DUARTE;9;36.023;4.875;40.48;1:11.922;
9;61;JORGE ALVES;9;39.582;3.559;40.27;1:13.398;
10;51;BERNARDO RODRIGUES;9;44.750;5.168;39.97;1:12.481;
11;68;DIOGO MACHADO;9;45.832;1.082;39.91;1:12.684;
12;59;DIOGO ALMEIDA;9;48.238;2.406;39.77;1:14.121;
13;71;FILIPE MONTEIRO;9;54.695;6.457;39.40;1:13.031;
14;63;JOAO SOUSA;9;59.234;4.539;39.15;1:13.195;
15;54;LUIS LEITE;9;1:07.121;7.887;38.71;1:14.527;
16;57;MARTIM MAGALHAES;9;1:09.937;2.816;38.56;1:11.793;
17;55;FABIO TORRES;9;1:13.644;3.707;38.36;1:14.629;
18;52;TIAGO GUEDES;9;1:16.558;2.914;38.20;1:14.605;
19;75;FLAVIO FERREIRA;8;1 Volta;1 Volta;37.82;1:15.977;
Melhor volta : TIAGO LA FERIA - 1:10.254 (43.56 km/h)


02/03/2024 - 15:39


KL - Final













Dia : EDUARDO CUSTODIA - 57.629


Semana : EDUARDO CUSTODIA - 57.629


Mês : EDUARDO CUSTODIA - 57.629


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
