Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;59;RICARDO GUEDES;10;;;47.77;1:02.925;
2;68;DOMINGOS MACHADO;10;1.988;1.988;47.63;1:03.114;
3;52;HUGO BRANDÃO;10;3.328;1.340;47.53;1:02.949;
4;60;ALICE FERREIRA;10;13.437;10.109;46.79;1:04.387;
5;53;LUIS SOUSA;10;26.261;12.824;45.89;1:05.500;
6;51;DANIEL MACHADO;10;26.668;0.407;45.86;1:05.289;
7;69;ABEL SANTOS;10;26.984;0.316;45.84;1:05.136;
8;72;DANIEL PINTO;10;27.480;0.496;45.81;1:05.089;
9;70;LUIS GUEDES;10;29.472;1.992;45.67;1:05.246;
10;55;JONI FERREIRA;10;30.289;0.817;45.62;1:04.933;
11;64;JOSO PEDRO SOARES;10;45.964;15.675;44.57;1:05.695;
12;56;MIGUEL SOUSA;10;51.472;5.508;44.22;1:06.105;
13;75;NICOLAS PEQUIM;10;52.750;1.278;44.14;1:06.996;
14;73;JOAO FORTUNA;10;57.773;5.023;43.82;1:05.086;
15;62;JOAO PEDRO SOUSA;10;1:10.023;12.250;43.07;1:08.434;
16;74;PEDRO SILVA;9;1 Volta;1 Volta;42.91;1:06.524;
17;63;JOAO PESTANA;9;1 Volta;6.445;42.48;1:05.157;
18;67;HUGO BARROS;9;1 Volta;8.402;41.94;1:07.715;
19;54;MARTIM SA FERREIRA;9;1 Volta;22.469;40.55;1:05.922;
Melhor volta : RICARDO GUEDES - 1:02.925 (48.63 km/h)


02/03/2024 - 17:33


MO - Final













Dia : EDUARDO CUSTODIA - 57.629


Semana : EDUARDO CUSTODIA - 57.629


Mês : EDUARDO CUSTODIA - 57.629


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
