Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;67;DOMINGOS MACHADO;9;;;44.90;1:07.050;
2;52;RICARDO GUEDES;9;7.125;7.125;44.38;1:07.766;
3;59;DAVID COSTA;9;9.203;2.078;44.24;1:07.992;
4;74;JOAO FORTUNA;9;18.172;8.969;43.61;1:08.536;
5;60;MARTIM SA FERREIRA;9;18.398;0.226;43.59;1:09.102;
6;63;ABEL SANTOS;9;30.683;12.285;42.76;1:09.688;
7;70;JOAO PESTANA;9;32.953;2.270;42.61;1:09.336;
8;68;ANTONIO CASTELO;9;35.398;2.445;42.45;1:10.769;
9;72;PEDRO GRANJA-CORTES;9;44.949;9.551;41.83;1:10.160;
10;64;ROGERIO TELES;9;52.738;7.789;41.35;1:11.492;
11;69;NICOLAS PEQUIM;9;58.187;5.449;41.01;1:11.519;
12;55;MARIA FRANCISCA;9;59.527;1.340;40.93;1:09.363;
13;56;RICARDO NETO;9;1:00.910;1.383;40.84;1:10.382;
14;75;DIOGO SILVA;9;1:02.441;1.531;40.75;1:09.102;
15;62;JOSO PEDRO SOARES;9;1:14.035;11.594;40.06;1:11.371;
16;51;TIAGO PEREIRA;8;1 Volta;1 Volta;39.76;1:09.707;
17;54;JOAO PEDRO SOUSA;8;1 Volta;35.864;37.57;1:11.446;
Melhor volta : DOMINGOS MACHADO - 1:07.050 (45.64 km/h)


02/03/2024 - 17:07


NO - Final













Dia : EDUARDO CUSTODIA - 57.629


Semana : EDUARDO CUSTODIA - 57.629


Mês : EDUARDO CUSTODIA - 57.629


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
