Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo;Informação
1;15;HUGO CARVALHIDO;9;;;54.42;1:13.231;;;11:05.069;
2;1;LUIS DUARTE;9;4.319;4.319;54.07;1:12.948;;;11:09.388;
3;8;PEDRO MOURA;9;5.994;1.675;53.93;1:13.395;;;11:11.063;
4;13;MIGUEL BENTO;9;6.082;0.088;53.92;1:13.209;;;11:11.151;
5;14;CARLOS MOREIRA;9;7.211;1.129;53.83;1:13.248;;;11:12.280;
6;19;LUIS FERNANDES;9;7.427;0.216;53.82;1:13.163;;5.500;11:12.496;
7;11;PEDRO SOARES;9;7.745;0.318;53.79;1:13.789;;;11:12.814;
8;12;GASPAR COUTO;9;8.068;0.323;53.76;1:13.360;;;11:13.137;
9;7;MARCO MONTENEGRO;9;9.321;1.253;53.66;1:13.547;;;11:14.390;
10;9;JORGE MAIA;9;10.051;0.730;53.61;1:13.592;;;11:15.120;
11;20;LORENZO SCANFERLA;9;10.288;0.237;53.59;1:13.394;;;11:15.357;
12;21;TOMAS XAVIER;9;10.934;0.646;53.54;1:13.751;;;11:16.003;
13;10;AFONSO CIDRAIS;9;13.472;2.538;53.34;1:13.071;;;11:18.541;
14;18;CARLOS MONTEIRO;9;14.486;1.014;53.26;1:14.226;;;11:19.555;
15;3;RUI ALMEIDA;9;20.121;5.635;52.82;1:14.154;;;11:25.190;
16;17;HUGO MARINHO;9;20.610;0.489;52.78;1:14.138;;;11:25.679;
17;4;FERNANDO GOMES;9;26.395;5.785;52.34;1:14.090;;;11:31.464;
18;2;JOAO AFONSO PEREIRA;9;28.881;2.486;52.15;1:15.220;;;11:33.950;
Melhor volta : LUIS DUARTE - 1:12.948 (55.12 km/h)


04/05/2024 - 10:42


CMCUP TOP 22 - BA - Final













Dia : LUIS DUARTE - 1:12.948


Semana : LUIS DUARTE - 1:12.948


Mês : LUIS DUARTE - 1:12.948


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
