Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo;Informação
1;11;MIGUEL ARAUJO ;9;;;54.53;1:13.351;;11:03.719;
2;3;JOAO VIDEIRA;9;6.568;6.568;53.99;1:13.655;;11:10.287;
3;8;JOAO MACHADO;9;13.875;7.307;53.41;1:13.509;;11:17.594;
4;18;BASTIEN ROUVIERE;9;15.185;1.310;53.31;1:14.588;;11:18.904;
5;20;HELDER MOREIRA;9;23.333;8.148;52.68;1:15.003;;11:27.052;
6;21;PEDRO CONCEIÇÃO;9;23.666;0.333;52.65;1:15.359;;11:27.385;
7;12;TIAGO FERREIRA;9;27.032;3.366;52.39;1:14.867;;11:30.751;
8;5;RUI CAMPOS;9;28.856;1.824;52.26;1:15.152;;11:32.575;
9;9;JORGE ALVES;9;34.458;5.602;51.84;1:16.278;;11:38.177;
10;16;PEDRO ALVES;9;34.679;0.221;51.82;1:15.707;;11:38.398;
11;15;MARCO NOGUEIRA;9;38.545;3.866;51.53;1:16.565;;11:42.264;
12;19;ANTONIO OLIVEIRA;9;39.902;1.357;51.44;1:16.477;;11:43.621;
13;7;RUBEN AZEVEDO;9;40.985;1.083;51.36;1:16.744;;11:44.704;
14;22;DANIEL PINTO;9;42.094;1.109;51.28;1:16.776;;11:45.813;
15;10;SERGIO LADEIRA;9;42.958;0.864;51.21;1:16.550;;11:46.677;
16;6;CARLOS AZEVEDO;9;44.863;1.905;51.07;1:16.498;;11:48.582;
17;4;PEDRO SILVA;9;54.430;9.567;50.39;1:17.724;;11:58.149;
18;1;DIOGO SILVA;8;1 Volta;1 Volta;48.81;1:20.823;;10:59.143;
Melhor volta : MIGUEL ARAUJO  - 1:13.351 (54.82 km/h)


04/05/2024 - 12:15


CMCUP D+F - Final













Dia : MIGUEL ARAUJO  - 1:12.829


Semana : MIGUEL ARAUJO  - 1:12.829


Mês : MIGUEL ARAUJO  - 1:12.829


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
