Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo;Informação
1;10;BASTIEN ROUVIERE;8;;;52.57;1:14.799;;;10:11.942;
2;1;ANDRE COSTA;8;1.189;1.189;52.47;1:15.819;;;10:13.131;
3;13;DIOGO COSTA;8;3.843;2.654;52.24;1:16.111;;;10:15.785;
4;21;VASCO VINHAS;8;9.100;5.257;51.80;1:16.482;;;10:21.042;
5;8;RUI CAMPOS;8;12.000;2.900;51.56;1:16.605;;;10:23.942;
6;12;CRISTIAN ALFONSO;8;15.194;3.194;51.30;1:15.853;;;10:27.136;
7;19;PEDRO ALVES;8;18.911;3.717;50.99;1:16.768;;;10:30.853;
8;3;PEDRO NEVES;8;21.749;2.838;50.77;1:17.719;;;10:33.691;
9;22;TIAGO FERREIRA;8;21.917;0.168;50.75;1:17.256;;;10:33.859;
10;5;MIGUEL COSTA;8;22.260;0.343;50.72;1:17.701;;;10:34.202;
11;16;MARCO NOGUEIRA;8;24.900;2.640;50.51;1:17.787;;;10:36.842;
12;2;PEDRO CONCEIÇÃO;8;25.696;0.796;50.45;1:18.086;;;10:37.638;
13;18;DANIEL PINTO;8;26.504;0.808;50.39;1:17.866;;;10:38.446;
14;7;ALEXANDRE MEIRELES;8;27.267;0.763;50.33;1:16.312;;10.000;10:39.209;
15;4;RODRIGO CIPRIANO;8;27.519;0.252;50.31;1:16.055;;;10:39.461;
16;17;IAGO LOPEZ;8;31.508;3.989;50.00;1:18.563;;;10:43.450;
17;15;SERGIO LADEIRA;8;32.099;0.591;49.95;1:17.486;;;10:44.041;
18;6;FILIPE MAGALHAES;8;1:01.058;28.959;47.80;1:20.934;;;11:13.000;
19;20;DIOGO SILVA;8;1:09.179;8.121;47.23;1:19.113;;;11:21.121;
Melhor volta : BASTIEN ROUVIERE - 1:14.799 (53.76 km/h)


04/05/2024 - 11:47


CMCUP E+F - Final













Dia : MIGUEL ARAUJO  - 1:12.829


Semana : MIGUEL ARAUJO  - 1:12.829


Mês : MIGUEL ARAUJO  - 1:12.829


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
