Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização;Tempo;Informação
1;21;MARIO SILVA JR;9;;;55.07;1:12.508;;;10:57.142;
2;20;GUSTAVO GONCALVES;9;1.032;1.032;54.99;1:12.243;;;10:58.174;
3;9;FILIPE OLIVEIRA;9;11.666;10.634;54.11;1:13.577;;;11:08.808;
4;8;RICARDO PASSOS;9;11.871;0.205;54.10;1:13.506;;;11:09.013;
5;2;RENATO BASTOS;9;12.704;0.833;54.03;1:13.446;;;11:09.846;
6;3;ALVARO BESSA;9;13.120;0.416;54.00;1:13.771;;;11:10.262;
7;6;RICARDO FONTAO;9;13.703;0.583;53.95;1:13.569;;;11:10.845;
8;5;IVAN CARDOSO;9;16.833;3.130;53.70;1:13.757;;;11:13.975;
9;13;DAVID COSTA;9;17.932;1.099;53.61;1:13.974;;;11:15.074;
10;4;PEDRO NUNES;9;19.004;1.072;53.53;1:12.963;;5.000;11:16.146;
11;1;RICARDO PEDROSO;9;26.807;7.803;52.91;1:14.360;;;11:23.949;
12;10;ALICE FERREIRA;9;29.258;2.451;52.73;1:14.603;;;11:26.400;
13;22;ANDRE ANDRADE;9;36.021;6.763;52.21;1:13.864;;;11:33.163;
14;14;ROBERTO BARBOSA;9;36.815;0.794;52.15;1:13.910;;;11:33.957;
15;17;RUBEN ALMEIDA;9;37.382;0.567;52.11;1:14.106;;;11:34.524;
16;7;IVO BAPTISTA;9;47.516;10.134;51.36;1:14.868;;;11:44.658;
Melhor volta : GUSTAVO GONCALVES - 1:12.243 (55.66 km/h)


04/05/2024 - 14:11


CMCUP TOP 42 - GH - Final













Dia : GUSTAVO GONCALVES - 1:12.243


Semana : GUSTAVO GONCALVES - 1:12.243


Mês : GUSTAVO GONCALVES - 1:12.243


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
