Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo;Informação
1;12;MARIO SILVA JR;9;;;57.85;1:08.236;;10:25.650;
2;19;GUSTAVO GONCALVES;9;0.629;0.629;57.79;1:08.165;;10:26.279;
3;15;PEDRO NUNES;9;1.629;1.000;57.69;1:08.054;;10:27.279;
4;11;RENATO BASTOS;9;8.560;6.931;57.06;1:09.650;;10:34.210;
5;6;RICARDO PEDROSO;9;9.125;0.565;57.01;1:08.242;;10:34.775;
6;4;ANDRE ANDRADE;9;10.176;1.051;56.92;1:08.041;;10:35.826;
7;8;FILIPE OLIVEIRA;9;11.514;1.338;56.80;1:08.625;;10:37.164;
8;14;RICARDO FONTAO;9;15.620;4.106;56.44;1:09.414;;10:41.270;
9;18;ALVARO BESSA;9;16.576;0.956;56.35;1:09.483;;10:42.226;
10;10;IVAN CARDOSO;9;21.036;4.460;55.96;1:09.860;;10:46.686;
11;20;IVO BAPTISTA;9;22.352;1.316;55.85;1:10.362;;10:48.002;
12;5;ALICE FERREIRA;9;25.212;2.860;55.60;1:09.478;;10:50.862;
13;17;DAVID COSTA;9;26.232;1.020;55.52;1:10.608;;10:51.882;
14;22;ROBERTO BARBOSA;9;27.962;1.730;55.37;1:10.747;;10:53.612;
15;2;RICARDO PASSOS;9;29.463;1.501;55.24;1:10.021;;10:55.113;
16;7;RUBEN ALMEIDA;9;29.950;0.487;55.20;1:09.304;;10:55.600;
Melhor volta : ANDRE ANDRADE - 1:08.041 (59.10 km/h)


04/05/2024 - 14:43


CMCUP TOP 42 - HG - Final













Dia : ANDRE ANDRADE - 1:08.041


Semana : ANDRE ANDRADE - 1:08.041


Mês : ANDRE ANDRADE - 1:08.041


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
