Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo;Informação
1;15;XOEL RODRIGUEZ;10;;;61.77;1:03.633;;10:50.997;
2;1;DINIS ALMEIDA;10;4.861;4.861;61.31;1:04.156;;10:55.858;
3;14;AFONSO SERRANO;10;5.969;1.108;61.21;1:04.080;;10:56.966;
4;17;EDUARDO CUSTODIA;10;6.020;0.051;61.20;1:03.791;;10:57.017;
5;18;JOAO PAULO ALMEIDA;10;6.559;0.539;61.15;1:03.255;;10:57.556;
6;7;DIANA SANTOS;10;10.889;4.330;60.75;1:04.248;;11:01.886;
7;16;NIKITA SIMONOV;10;10.911;0.022;60.75;1:04.501;;11:01.908;
8;9;ORLANDO FONTAO;10;11.184;0.273;60.73;1:04.005;;11:02.181;
9;19;JOAQUIM ABREU;10;16.137;4.953;60.28;1:04.330;;11:07.134;
10;12;JOAO SOUSA;10;17.142;1.005;60.19;1:04.206;;11:08.139;
11;11;EMANUEL TEIXEIRA;10;17.978;0.836;60.11;1:04.720;;11:08.975;
12;21;JOAO FARIA;10;18.526;0.548;60.06;1:04.220;;11:09.523;
13;20;MARTIM FERREIRA;10;18.662;0.136;60.05;1:04.704;;11:09.659;
14;4;LUIS SOUSA;10;18.717;0.055;60.04;1:04.181;;11:09.714;
15;3;JOAO COUTINHO;10;27.283;8.566;59.29;1:04.616;;11:18.280;
16;10;RICARDO NETO;10;32.115;4.832;58.87;1:05.017;;11:23.112;
17;5;PEDRO GRANJA-CORTES;10;35.197;3.082;58.60;1:04.787;;11:26.194;
18;22;NICOLAS PEQUIM;10;35.793;0.596;58.55;1:05.307;;11:26.790;
19;8;ALEXEY YACHMENEV;10;37.138;1.345;58.44;1:06.487;;11:28.135;
20;6;HENRIQUE XAVIER;10;37.637;0.499;58.39;1:05.609;;11:28.634;
21;2;LUIS COSTA;10;45.949;8.312;57.70;1:05.428;;11:36.946;
Melhor volta : JOAO PAULO ALMEIDA - 1:03.255 (63.57 km/h)


04/05/2024 - 15:15


CMCUP J+K - Final













Dia : JOAO PAULO ALMEIDA - 1:03.255


Semana : JOAO PAULO ALMEIDA - 1:03.255


Mês : JOAO PAULO ALMEIDA - 1:03.255


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
