Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo;Informação
1;6;JOAO SOUSA;10;;;66.67;59.881;;10:03.189;
2;16;DIANA SANTOS;10;3.058;3.058;66.33;59.887;;10:06.247;
3;7;JOAO FARIA;10;8.438;5.380;65.75;59.944;;10:11.627;
4;15;TIAGO GUEDES;10;10.877;2.439;65.48;1:00.465;;10:14.066;
5;18;ANTONIO CASTELO;10;11.615;0.738;65.41;1:00.264;;10:14.804;
6;21;MARTIM MAGALHAES;10;11.675;0.060;65.40;1:00.519;;10:14.864;
7;8;JOAQUIM ABREU;10;11.693;0.018;65.40;1:00.257;;10:14.882;
8;19;CARLOS DUARTE;10;11.838;0.145;65.38;1:00.380;;10:15.027;
9;10;HENRIQUE XAVIER;10;13.972;2.134;65.16;1:00.078;;10:17.161;
10;2;LUCIANO FREIXEDELO;10;14.217;0.245;65.13;1:00.584;;10:17.406;
11;3;AFONSO SERRANO;10;14.647;0.430;65.09;1:00.239;;10:17.836;
12;11;RICARDO NETO;10;15.241;0.594;65.02;1:00.250;;10:18.430;
13;14;PEDRO GRANJA-CORTES;10;17.940;2.699;64.74;1:00.874;;10:21.129;
14;5;NIKITA SIMONOV;10;18.117;0.177;64.72;1:00.248;;10:21.306;
15;4;ALEXEY YACHMENEV;10;18.395;0.278;64.69;1:00.215;;10:21.584;
16;9;MARIA FRANCISCA;10;20.320;1.925;64.49;1:00.799;;10:23.509;
17;22;BERNARDO RODRIGUES;10;23.955;3.635;64.12;1:01.331;;10:27.144;
18;1;ROGERIO TELES;10;37.808;13.853;62.73;1:02.005;;10:40.997;
Melhor volta : JOAO SOUSA - 59.881 (67.15 km/h)


04/05/2024 - 16:18


CMCUP J+L - Final













Dia : JOAO SOUSA - 59.881


Semana : JOAO SOUSA - 59.881


Mês : JOAO SOUSA - 59.881


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
