Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Viana - Pista A


04/05/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Tempo;Informação
1;10;EDUARDO CUSTODIA;10;;;65.27;1:01.029;;10:16.073;
2;2;XOEL RODRIGUEZ;10;4.501;4.501;64.80;1:01.271;;10:20.574;
3;22;DINIS ALMEIDA;10;5.003;0.502;64.75;1:01.381;;10:21.076;
4;12;ORLANDO FONTAO;10;5.538;0.535;64.69;1:00.953;;10:21.611;
5;17;EMANUEL TEIXEIRA;10;6.423;0.885;64.60;1:01.518;;10:22.496;
6;15;LUIS SOUSA;10;8.079;1.656;64.43;1:01.247;;10:24.152;
7;1;JOAO PAULO ALMEIDA;10;14.485;6.406;63.77;1:01.472;;10:30.558;
8;20;MARTIM MAGALHAES;10;15.383;0.898;63.68;1:01.561;;10:31.456;
9;16;ANTONIO CASTELO;10;15.404;0.021;63.68;1:01.753;;10:31.477;
10;6;TIAGO GUEDES;10;18.530;3.126;63.37;1:02.011;;10:34.603;
11;21;MARIA FRANCISCA;10;18.761;0.231;63.34;1:02.018;;10:34.834;
12;14;MARTIM FERREIRA;10;18.844;0.083;63.33;1:02.019;;10:34.917;
13;8;LUCIANO FREIXEDELO;10;18.961;0.117;63.32;1:01.292;;10:35.034;
14;13;NICOLAS PEQUIM;10;21.817;2.856;63.04;1:02.367;;10:37.890;
15;4;LUIS COSTA;10;22.123;0.306;63.01;1:02.179;;10:38.196;
16;5;CARLOS DUARTE;10;23.059;0.936;62.92;1:01.344;;10:39.132;
17;19;BERNARDO RODRIGUES;10;23.877;0.818;62.84;1:01.722;;10:39.950;
18;3;ROGERIO TELES;10;33.697;9.820;61.89;1:02.846;;10:49.770;
19;9;JOAO COUTINHO;10;44.968;11.271;60.83;1:02.016;;11:01.041;
Melhor volta : ORLANDO FONTAO - 1:00.953 (65.97 km/h)


04/05/2024 - 15:48


CMCUP K+L - Final













Dia : ORLANDO FONTAO - 1:00.953


Semana : ORLANDO FONTAO - 1:00.953


Mês : ORLANDO FONTAO - 1:00.953


MELHORES TEMPOS - SR4 Race


Recorde da pista : KART 21 - 57.232
