Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;55;HUGO CARVALHIDO;12;;;57.22;52.750;
2;62;GUSTAVO GONÇALVES;12;1.433;1.433;57.09;52.683;
3;65;LUIS DUARTE;12;1.816;0.383;57.06;53.000;
4;51;JOAO VIDEIRA;12;1.953;0.137;57.05;52.855;
5;74;FERNANDO GOMES;12;2.214;0.261;57.02;52.766;
6;71;JOAO MACHADO;12;2.664;0.450;56.99;52.750;
7;58;CARLOS MONTEIRO;12;3.007;0.343;56.95;52.934;
8;75;PEDRO MOURA;12;3.019;0.012;56.95;52.574;
9;68;MARIO SILVA JR;12;3.472;0.453;56.91;53.015;
10;61;FILIPE OLIVEIRA;12;4.046;0.574;56.86;52.961;
11;67;JORGE MAIA;12;4.441;0.395;56.83;52.934;
12;70;LORENZO SCANFERLA;12;5.390;0.949;56.75;53.109;
13;52;DINIS ALMEIDA;12;6.742;1.352;56.63;53.070;
14;59;PEDRO NUNES;12;8.546;1.804;56.47;53.262;
15;63;IVAN CARDOSO;12;9.156;0.610;56.42;53.242;
16;66;LUIS FERNANDES;5;7 Voltas;7 Voltas;55.57;53.199;
Melhor volta : PEDRO MOURA - 52.574 (58.20 km/h)


01/06/2024 - 10:09


AB - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
