Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;61;LUIS DUARTE;12;;;57.37;52.879;
2;51;MARIO SILVA JR;12;1.976;1.976;57.19;52.754;
3;71;JOAO VIDEIRA;12;2.242;0.266;57.17;52.781;
4;75;LUIS FERNANDES;12;2.476;0.234;57.15;52.824;
5;74;GUSTAVO GONÇALVES;12;2.945;0.469;57.11;52.883;
6;58;CARLOS MONTEIRO;12;3.211;0.266;57.08;52.894;
7;65;PEDRO MOURA;12;7.304;4.093;56.72;53.051;
8;63;JORGE MAIA;12;7.371;0.067;56.72;53.024;
9;55;PEDRO NUNES;12;7.566;0.195;56.70;53.054;
10;70;FERNANDO GOMES;12;8.156;0.590;56.65;53.082;
11;66;JOAO MACHADO;12;11.144;2.988;56.39;53.285;
12;59;LORENZO SCANFERLA;12;11.656;0.512;56.34;53.418;
13;60;FILIPE OLIVEIRA;12;12.367;0.711;56.28;53.293;
14;67;IVAN CARDOSO;12;13.144;0.777;56.22;53.371;
15;68;DINIS ALMEIDA;12;13.277;0.133;56.20;53.367;
16;62;HUGO CARVALHIDO;1;11 Voltas;11 Voltas;0.35;;
Melhor volta : MARIO SILVA JR - 52.754 (58.01 km/h)


01/06/2024 - 10:44


BA - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
