Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;58;MARCO SILVA;12;;;57.28;53.015;
2;51;NUNO GONÇALVES;12;2.399;2.399;57.06;53.129;
3;71;RUBEN AZEVEDO;12;3.043;0.644;57.01;53.012;
4;75;LUIS CUNHA;12;6.250;3.207;56.72;53.269;
5;74;RODRIGO CIPRIANO;12;7.313;1.063;56.63;53.364;
6;69;TOMAS PAIVA;12;7.672;0.359;56.60;53.292;
7;57;LUIS SOUSA;12;11.688;4.016;56.25;53.536;
8;59;PEDRO CONCEIÇÃO;12;13.004;1.316;56.14;53.531;
9;61;MARCO NOGUEIRA;12;13.352;0.348;56.11;53.320;
10;65;TIAGO FERREIRA;12;14.367;1.015;56.02;53.652;
11;70;RUI CAMPOS;12;14.774;0.407;55.99;53.715;
12;60;JOAO PAULO ALMEIDA;12;15.141;0.367;55.95;53.711;
13;68;PEDRO ALVES;12;16.508;1.367;55.84;53.722;
14;63;MIGUEL COSTA;12;17.711;1.203;55.74;53.719;
15;55;SERGIO LADEIRA;12;17.903;0.192;55.72;53.828;
16;67;VASCO VINHAS;12;22.895;4.992;55.30;53.804;
17;66;CARLOS MOTA;12;25.949;3.054;55.05;54.387;
18;73;BRUNO CARDOSO;12;41.500;15.551;53.79;55.395;
Melhor volta : RUBEN AZEVEDO - 53.012 (57.72 km/h)


01/06/2024 - 11:11


DE - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
