Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;51;NUNO GONÇALVES;12;;;57.08;53.149;;
2;71;MARCO SILVA;12;0.266;0.266;57.06;53.192;;
3;61;JOAO PAULO ALMEIDA;12;4.020;3.754;56.72;53.258;;
4;55;RODRIGO CIPRIANO;12;6.239;2.219;56.53;53.438;;
5;68;RODRIGO TAVEIRA;12;10.914;4.675;56.13;53.656;;
6;69;HELDER MOREIRA;12;11.227;0.313;56.10;53.863;;
7;63;LUIS SOUSA;12;15.535;4.308;55.73;54.160;;
8;60;VASCO VINHAS;12;17.008;1.473;55.61;54.070;;
9;67;MARCO NOGUEIRA;12;19.266;2.258;55.42;54.180;;
10;57;CARLOS ALMEIDA;12;19.672;0.406;55.39;53.840;;
11;65;MIGUEL COSTA;12;22.313;2.641;55.17;54.020;;5.000
12;73;PEDRO SILVA ALVES;12;27.364;5.051;54.75;54.754;;
13;74;CARLOS MOTA;12;27.813;0.449;54.71;54.555;;
14;75;VICENZO DE ROSA;12;28.071;0.258;54.69;54.665;;
15;70;RUI MONTEIRO;12;30.567;2.496;54.49;54.539;;
16;59;PEDRO NEVES;12;32.223;1.656;54.36;54.981;;
17;58;FRANCESCO ALESSANDRO;12;44.387;12.164;53.40;54.644;;
Melhor volta : NUNO GONÇALVES - 53.149 (57.57 km/h)


01/06/2024 - 11:40


EF - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
