Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;57;RICARDO PASSOS;12;;;56.52;53.570;
2;74;GUILHERME PEREZ;12;0.031;0.031;56.52;53.516;
3;62;ALVARO BESSA;12;0.097;0.066;56.51;53.457;
4;52;MARCO MONTENEGRO;12;0.344;0.247;56.49;53.266;
5;58;GASPAR COUTO;12;0.590;0.246;56.47;53.437;
6;71;RICARDO FONTÃO;12;1.000;0.410;56.43;53.571;
7;73;TOMAS XAVIER;12;1.254;0.254;56.41;53.562;
8;63;HUGO MARINHO;12;4.113;2.859;56.16;53.613;
9;51;DIANA SANTOS;12;4.418;0.305;56.14;53.575;
10;65;ANDRE ANDRADE;12;7.008;2.590;55.92;54.074;
11;55;XOEL RODRIGUEZ;12;11.601;4.593;55.53;54.324;
12;66;RUBEN ALMEIDA;12;11.890;0.289;55.50;54.258;
Melhor volta : MARCO MONTENEGRO - 53.266 (57.45 km/h)


01/06/2024 - 14:09


GH - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
