Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


01/06/2024 - Apex Timing GoKarts 4.50.23





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;75;DOMINGOS MACHADO;12;;;56.29;53.754;
2;51;TIAGO MONTEIRO;12;0.094;0.094;56.28;53.675;
3;62;CARLOS DUARTE;12;0.891;0.797;56.21;53.727;
4;71;ANDRE HESS;12;1.328;0.437;56.17;53.754;
5;53;ORLANDO FONTÃO;12;1.523;0.195;56.16;53.703;
6;65;MARTIM MAGALHAES;12;5.195;3.672;55.84;53.953;
7;74;AFONSO SERRANO;12;7.121;1.926;55.68;53.910;
8;69;JOAQUIM ABREU;12;7.680;0.559;55.63;54.297;
9;59;CRISTIAN LAGE;12;11.730;4.050;55.29;54.117;
10;66;NIKITA SIMONOV;12;11.855;0.125;55.28;54.075;
11;57;ALEXEY YACHMENEV;12;12.426;0.571;55.23;54.191;
12;55;TIAGO GUEDES;12;13.332;0.906;55.16;54.363;
13;58;DIOGO REIS;12;15.645;2.313;54.97;54.480;
14;70;LUCIANO FREIXEDELO;12;16.391;0.746;54.91;54.465;
15;61;DAVID COSTA;12;16.766;0.375;54.88;54.390;
16;63;JOAO FARIA;12;17.762;0.996;54.80;54.426;
17;60;MARTIM CORREIA;12;21.660;3.898;54.48;54.453;
18;72;FILIPE MONTEIRO;12;34.828;13.168;53.43;55.102;
19;67;RUI TORRES;12;41.453;6.625;52.92;55.434;
20;52;HALIM MOKHTARI;11;1 Volta;1 Volta;49.58;56.496;
Melhor volta : TIAGO MONTEIRO - 53.675 (57.01 km/h)


01/06/2024 - 16:12


JL - Final













Dia : PEDRO MOURA - 52.574


Semana : PEDRO MOURA - 52.574


Mês : PEDRO MOURA - 52.574


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : LORENZO SCANFERLA - 52.425
