Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;61;MARIO SILVA JR;12;;;53.63;46.257;
2;55;GASPAR COUTO;12;1.578;1.578;53.49;46.399;
3;70;FERNANDO GOMES;12;2.605;1.027;53.40;46.281;
4;65;HUGO MARINHO;12;2.715;0.110;53.39;46.242;
5;67;JORGE MAIA;12;2.859;0.144;53.37;46.168;
6;66;CARLOS MONTEIRO;12;3.261;0.402;53.34;46.363;
7;69;GUSTAVO GONÇALVES;12;5.840;2.579;53.11;46.609;
8;71;TOMAS XAVIER;12;5.992;0.152;53.10;46.250;
9;60;LORENZO SCANFERLA;12;6.187;0.195;53.08;46.449;
10;68;GUILHERME PEREZ;12;6.734;0.547;53.04;46.594;
11;52;JOAO VIDEIRA;12;7.000;0.266;53.01;46.266;
12;51;DINIS ALMEIDA;12;9.551;2.551;52.79;46.649;
13;63;MARCO MONTENEGRO;12;11.492;1.941;52.63;46.758;
14;73;MIGUEL BENTO;12;11.769;0.277;52.60;46.843;
15;75;RUI ALMEIDA;9;3 Voltas;3 Voltas;50.16;46.383;
Melhor volta : JORGE MAIA - 46.168 (58.48 km/h)


06/07/2024 - 10:10


AB - Final













Dia : JORGE MAIA - 46.168


Semana : JORGE MAIA - 46.168


Mês : JORGE MAIA - 46.168


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : JORGE MAIA - 46.168
