Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;68;JOAO VIDEIRA;12;;;53.86;46.148;
2;55;GUSTAVO GONÇALVES;12;0.106;0.106;53.85;46.019;
3;71;FERNANDO GOMES;12;0.910;0.804;53.78;46.199;
4;61;JORGE MAIA;12;1.117;0.207;53.76;46.192;
5;74;LORENZO SCANFERLA;12;3.320;2.203;53.57;46.191;
6;75;MARIO SILVA JR;12;3.590;0.270;53.54;46.461;
7;66;GUILHERME PEREZ;12;4.031;0.441;53.50;46.460;
8;59;HUGO MARINHO;12;4.313;0.282;53.48;46.328;
9;52;RUI ALMEIDA;12;6.906;2.593;53.25;46.468;
10;67;MARCO MONTENEGRO;12;7.133;0.227;53.23;46.461;
11;51;MIGUEL BENTO;12;8.110;0.977;53.14;46.437;
12;70;GASPAR COUTO;12;9.086;0.976;53.06;46.515;
13;73;CARLOS MONTEIRO;12;10.332;1.246;52.95;46.805;
14;60;DINIS ALMEIDA;12;11.703;1.371;52.83;46.832;
15;58;TOMAS XAVIER;12;13.129;1.426;52.71;46.270;
Melhor volta : GUSTAVO GONÇALVES - 46.019 (58.67 km/h)


06/07/2024 - 10:42


BA - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
