Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;70;JOAO FARIA;12;;;53.36;46.762;
2;58;LUIS MOREIRA CUNHA;12;0.797;0.797;53.29;46.566;
3;61;LUIS CUNHA;12;1.113;0.316;53.26;46.789;
4;68;RODRIGO TAVEIRA;12;1.270;0.157;53.24;46.746;
5;52;ALEXANDRE MEIRELES;12;7.188;5.918;52.73;47.008;
6;74;ARMINDO FERREIRA;12;7.301;0.113;52.72;46.782;
7;75;SANTIAGO MADALENO;12;8.297;0.996;52.64;47.036;
8;51;MARCO NOGUEIRA;12;8.485;0.188;52.62;46.945;
9;60;JOAO PAULO ALMEIDA;12;8.762;0.277;52.60;46.988;
10;73;MIGUEL COSTA;12;8.860;0.098;52.59;47.203;
11;59;LUIS SOUSA;12;10.024;1.164;52.49;47.176;
12;57;JAIME TEIXEIRA;12;11.567;1.543;52.36;47.222;
13;65;MIGUEL SOUSA;12;13.903;2.336;52.16;47.336;
14;55;PEDRO SILVA ALVES;12;15.488;1.585;52.03;47.164;
15;69;LUIS GUEDES;12;30.567;15.079;50.80;47.750;
16;67;PEDRO NEVES;12;33.028;2.461;50.60;48.200;
17;62;LUIS GRAZINA;12;36.137;3.109;50.36;47.550;
Melhor volta : LUIS MOREIRA CUNHA - 46.566 (57.98 km/h)


06/07/2024 - 11:08


DE - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
