Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;61;LUIS MOREIRA CUNHA;12;;;53.30;46.777;;
2;51;MIGUEL COSTA;12;0.199;0.199;53.28;46.699;;
3;63;PEDRO CONCEIÇÃO;12;0.921;0.722;53.22;46.781;;
4;70;ALEXANDRE MEIRELES;12;4.589;3.668;52.90;46.883;;
5;55;PEDRO ALVES;12;4.980;0.391;52.87;46.918;;
6;66;SERGIO LADEIRA;12;7.390;2.410;52.66;47.094;;
7;75;MARCO NOGUEIRA;12;9.230;1.840;52.50;47.157;;
8;52;TIAGO FERREIRA;12;9.984;0.754;52.44;47.031;;
9;62;ANDRE HESS;12;12.972;2.988;52.19;47.586;;
10;73;CARLOS MATOS;12;14.816;1.844;52.03;47.215;;5.000
11;65;JAIME TEIXEIRA;12;15.605;0.789;51.97;47.328;;5.000
12;69;RUI MONTEIRO;12;16.254;0.649;51.91;47.742;;
13;57;LUIS GRAZINA;12;16.504;0.250;51.89;47.547;;
14;71;PEDRO PEDROSA;12;17.312;0.808;51.83;47.657;;
15;67;PEDRO NEVES;12;20.875;3.563;51.53;47.933;;
16;59;BERNARDO SOUSA;12;21.402;0.527;51.49;47.832;;
17;68;BRUNO CARDOSO;12;24.746;3.344;51.22;48.242;;
Melhor volta : MIGUEL COSTA - 46.699 (57.82 km/h)


06/07/2024 - 11:41


EF - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
