Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;72;PEDRO NUNES;12;;;53.45;46.735;
2;51;IVAN CARDOSO;12;0.543;0.543;53.40;46.664;
3;71;ALVARO BESSA;12;2.481;1.938;53.23;46.707;
4;55;JOAO MACHADO;12;2.625;0.144;53.22;46.715;
5;62;JOAO AFONSO PEREIRA;12;2.918;0.293;53.19;46.809;
6;60;FILIPE OLIVEIRA;12;4.348;1.430;53.07;46.871;
7;68;BASTIEN ROUVIERE;12;4.496;0.148;53.06;46.808;
8;59;AFONSO SERRANO;12;7.184;2.688;52.82;46.882;
9;63;RICARDO FONTÃO;12;7.625;0.441;52.79;46.910;
10;61;TOMAS PAIVA;12;10.445;2.820;52.55;46.797;
11;52;HELDER MOREIRA;12;11.274;0.829;52.47;47.246;
12;73;RICARDO PEDROSO;12;15.781;4.507;52.09;47.465;
13;74;CRISTIANO MONTEIRO;12;16.039;0.258;52.07;47.426;
14;75;JOAO PAIVA;12;17.012;0.973;51.99;47.070;
15;69;EDUARDO CUSTADIA;12;17.621;0.609;51.94;47.668;
16;67;ORLANDO FONTÃO;12;20.449;2.828;51.71;47.731;
Melhor volta : IVAN CARDOSO - 46.664 (57.86 km/h)


06/07/2024 - 14:35


HG - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
