Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;61;DOMINGOS MACHADO;12;;;53.24;46.891;
2;74;RUBEN ALMEIDA;12;3.847;3.847;52.90;47.007;
3;72;ANTONIO CASTELO;12;10.551;6.704;52.33;47.434;
4;62;MARTIM MAGALHAES;12;12.969;2.418;52.12;47.636;
5;68;JOAQUIM ABREU;12;13.113;0.144;52.11;47.523;
6;55;HENRIQUE XAVIER;12;13.609;0.496;52.07;47.539;
7;69;MANUEL PAIS VIEIRA;12;19.195;5.586;51.61;47.660;
8;60;KATE LOUREN;12;19.390;0.195;51.59;47.977;
9;66;JOAO ALVES;12;20.058;0.668;51.54;47.617;
10;51;LUCIANO FREIXEDELO;12;21.832;1.774;51.39;47.715;
11;75;NICOLAS PEQUIM;12;23.031;1.199;51.29;47.899;
12;59;FRANCISCO MONTEIRO;12;23.590;0.559;51.25;48.179;
13;63;MARIO BRITO;12;36.078;12.488;50.26;48.746;
14;52;XAVIER SANTOS;12;38.656;2.578;50.06;48.937;
15;71;FABIO TORRES;12;42.898;4.242;49.73;48.070;
16;67;DIOGO REIS;12;47.437;4.539;49.39;48.570;
17;73;RUI TORRES;11;1 Volta;1 Volta;45.53;48.949;
Melhor volta : DOMINGOS MACHADO - 46.891 (57.58 km/h)


06/07/2024 - 15:03


JK - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
