Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;71;CARLOS DUARTE;12;;;52.77;47.090;
2;62;RUBEN ALMEIDA;12;0.395;0.395;52.73;47.078;
3;59;ALEXEY YACHMENEV;12;3.613;3.218;52.46;47.301;
4;68;IVO BAPTISTA;12;4.188;0.575;52.41;47.222;
5;51;VASCO CARNEIRO;12;4.496;0.308;52.38;47.398;
6;74;BERNARDO RODRIGUES;12;10.832;6.336;51.85;47.718;
7;75;FRANCISCO MONTEIRO;12;12.133;1.301;51.74;47.586;
8;72;MARIO BRITO;12;18.754;6.621;51.20;48.199;
9;63;LUCIANO FREIXEDELO;12;19.008;0.254;51.18;47.868;
10;52;DIOGO REIS;12;26.645;7.637;50.57;48.168;
11;60;RUI TORRES;12;28.707;2.062;50.41;48.750;
12;69;XAVIER SANTOS;12;39.609;10.902;49.57;48.965;
13;55;DAYVID SILVA;11;1 Volta;1 Volta;47.29;51.215;
14;73;JOAQUIM ABREU;9;3 Voltas;2 Voltas;48.27;47.859;
Melhor volta : RUBEN ALMEIDA - 47.078 (57.35 km/h)


06/07/2024 - 15:57


JL - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
