Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;71;DOMINGOS MACHADO;12;;;53.69;46.578;;
2;59;IVO BAPTISTA;12;17.883;17.883;52.14;47.785;;
3;74;MARTIM MAGALHAES;12;18.641;0.758;52.08;47.578;;
4;72;MANUEL PAIS VIEIRA;12;19.762;1.121;51.99;47.309;;
5;52;HENRIQUE XAVIER;12;19.883;0.121;51.98;47.679;;
6;75;ANTONIO CASTELO;12;20.059;0.176;51.96;47.551;;
7;73;NICOLAS PEQUIM;12;24.129;4.070;51.62;47.891;;
8;62;ALEXEY YACHMENEV;12;28.828;4.699;51.24;47.757;;
9;68;VASCO CARNEIRO;12;28.828;0.000;51.24;47.691;;
10;61;CARLOS DUARTE;12;29.285;0.457;51.20;47.969;;
11;51;KATE LOUREN;12;30.437;1.152;51.11;47.519;;
12;55;JOAO ALVES;12;30.293;;51.12;47.558;;1 Posição
13;63;BERNARDO RODRIGUES;12;32.027;1.734;50.98;48.187;;
14;69;FABIO TORRES;12;35.602;3.575;50.70;48.515;;
Melhor volta : DOMINGOS MACHADO - 46.578 (57.97 km/h)


06/07/2024 - 15:32


KL - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
