Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;55;TIAGO MONTEIRO;12;;;53.51;46.777;
2;53;BRUNO BARBOSA;12;4.305;4.305;53.13;47.098;
3;68;ROBERTO BARBOSA;12;6.293;1.988;52.96;47.273;
4;70;JOAO LUCAS;12;7.532;1.239;52.85;47.258;
5;62;DANIEL PINTO;12;8.035;0.503;52.81;47.308;
6;72;JORGE ALVES;12;9.016;0.981;52.73;47.309;
7;59;MIGUEL LOPES;12;15.047;6.031;52.21;47.653;
8;71;DAVID PERALTA;12;17.317;2.270;52.02;47.496;
9;74;DIANA SANTOS;12;19.016;1.699;51.88;47.625;
10;66;PAULO MOREIRA;12;20.735;1.719;51.74;47.832;
11;60;DIOGO SILVA;12;23.555;2.820;51.51;47.977;
12;57;FILIPE MONTEIRO;12;25.657;2.102;51.34;48.106;
13;63;MARTIM CORREIA;12;26.098;0.441;51.30;48.019;
14;52;JOAO SOUSA;12;26.391;0.293;51.28;47.898;
15;69;MARIA FRANCISCA;12;27.805;1.414;51.16;48.114;
16;64;HELDER COUTINHO;12;31.360;3.555;50.88;48.180;
17;75;CARLOS AZEVEDO;12;36.481;5.121;50.47;48.293;
18;73;TIAGO CORREIA;12;37.266;0.785;50.41;48.094;
19;51;DAVID COSTA;12;41.543;4.277;50.07;47.730;
20;65;TIAGO GUEDES;4;8 Voltas;8 Voltas;44.94;48.340;
Melhor volta : TIAGO MONTEIRO - 46.777 (57.72 km/h)


06/07/2024 - 16:29


MN - Final













Dia : GUSTAVO GONÇALVES - 46.019


Semana : GUSTAVO GONÇALVES - 46.019


Mês : GUSTAVO GONÇALVES - 46.019


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : GUSTAVO GONÇALVES - 46.019
