Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


06/07/2024 - Apex Timing GoKarts 4.50.26





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;75;TIAGO MONTEIRO;12;;;56.74;46.890;;
2;64;DANIEL PINTO;12;1.137;1.137;56.64;46.973;;
3;74;ROBERTO BARBOSA;12;4.406;3.269;56.34;47.023;;
4;59;JORGE ALVES;12;4.871;0.465;56.29;47.125;;
5;62;JOAO LUCAS;12;10.883;6.012;55.75;47.215;;
6;53;TIAGO GUEDES;12;11.230;0.347;55.72;47.262;;
7;51;DAVID PERALTA;12;12.992;1.762;55.56;47.367;;
8;72;BRUNO BARBOSA;12;13.359;0.367;55.53;47.231;;
9;71;JOAO SOUSA;12;13.480;0.121;55.52;47.441;;
10;55;DAVID COSTA;12;14.313;0.833;55.44;47.484;;
11;60;MIGUEL LOPES;12;16.238;1.925;55.27;47.691;;
12;73;MARTIM CORREIA;12;16.598;0.360;55.24;47.566;;
13;65;DIOGO SILVA;12;21.496;4.898;54.81;47.379;;
14;70;DIANA SANTOS;12;25.531;4.035;54.46;47.539;;
15;66;PAULO MOREIRA;12;26.426;0.895;54.39;47.543;;10.000
16;52;CARLOS AZEVEDO;12;27.949;1.523;54.26;48.094;;
17;68;HELDER COUTINHO;12;28.133;0.184;54.24;48.133;;
18;57;TIAGO CORREIA;12;28.379;0.246;54.22;47.902;;
19;69;MARIA FRANCISCA;12;28.855;0.476;54.18;48.141;;
20;63;FILIPE MONTEIRO;12;29.426;0.571;54.13;48.320;;
Melhor volta : TIAGO MONTEIRO - 46.890 (61.42 km/h)


06/07/2024 - 17:00


NM - Final
















Semana : ALEXANDRE MEIRELES - 51.742


Mês : ALEXANDRE MEIRELES - 51.742


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : PEDRO MOURA - 50.515
