Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


07/09/2024 - Apex Timing GoKarts 4.51.06





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;75;LUIS DUARTE;12;;;52.03;53.171;
2;70;HUGO CARVALHIDO;12;0.367;0.367;52.00;53.074;
3;53;GUSTAVO GONÇALVES;12;5.168;4.801;51.63;53.305;
4;67;LORENZO SCANFERLA;12;5.438;0.270;51.61;53.242;
5;65;RUI ALMEIDA;12;5.535;0.097;51.60;53.437;
6;71;FERNANDO GOMES;12;11.586;6.051;51.14;53.562;
7;68;LUIS CUNHA;12;11.801;0.215;51.13;53.532;
8;59;HUGO MARINHO;12;12.102;0.301;51.10;53.825;
9;56;CARLOS MONTEIRO;12;13.188;1.086;51.02;53.895;
10;61;MIGUEL COSTA;12;13.336;0.148;51.01;53.594;
11;69;ROBERTO BARBOSA;12;13.742;0.406;50.98;53.637;
12;52;JOAO RADI;12;14.836;1.094;50.90;54.062;
13;62;TOMAS XAVIER;12;15.192;0.356;50.87;53.739;
14;73;SANTIAGO MADALENO;12;15.414;0.222;50.85;53.668;
15;60;JOAO PAIVA;12;15.723;0.309;50.83;53.742;
16;64;FILIPE OLIVEIRA;12;17.813;2.090;50.67;53.929;
17;51;ALVARO BESSA;12;18.574;0.761;50.62;54.203;
18;63;JOAO PEREIRA;12;18.688;0.114;50.61;54.051;
19;54;VITOR FERNANDES;12;18.910;0.222;50.59;53.938;
20;57;RICARDO PEDROSO;12;20.555;1.645;50.47;54.211;
Melhor volta : HUGO CARVALHIDO - 53.074 (54.26 km/h)


07/09/2024 - 12:57


FINAL A - Final













Dia : HUGO CARVALHIDO - 53.074


Semana : HUGO CARVALHIDO - 53.074


Mês : HUGO CARVALHIDO - 53.074


MELHORES TEMPOS - CRG 390


Recorde da pista : HUGO CARVALHIDO - 53.074
