Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


07/09/2024 - Apex Timing GoKarts 4.51.06





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;69;DAVID PERALTA;11;;;51.08;53.746;
2;75;CARLOS RODRIGUES;11;0.402;0.402;51.05;53.981;
3;73;PAULO MOREIRA;11;0.855;0.453;51.01;53.934;
4;59;DUARTE SILVA;11;4.801;3.946;50.69;53.992;
5;52;MIGUEL SOUSA;11;7.054;2.253;50.51;54.433;
6;61;CLAUDIO OLIVEIRA;11;7.570;0.516;50.47;54.110;
7;60;ALLEN HUANG;11;8.015;0.445;50.43;54.066;
8;63;JOAO ALVES;11;8.504;0.489;50.39;54.043;
9;64;DIOGO SILVA;11;10.910;2.406;50.20;54.531;
10;65;NICOLAS MACHADO;11;16.070;5.160;49.79;54.590;
11;67;FILIPE MAGALHAES;11;18.199;2.129;49.63;54.730;
12;56;MIGUEL SANTOS;11;19.136;0.937;49.55;54.614;
13;62;FRANCISCO MONTEIRO;11;20.851;1.715;49.42;55.157;
14;54;ANGEL ROCHA;11;31.320;10.469;48.63;54.675;
15;68;RUI TORRES;11;33.281;1.961;48.48;54.848;
16;70;JOAO SILVA;11;34.707;1.426;48.38;55.355;
17;57;IDRESS AHMED;11;52.113;17.406;47.12;56.175;
Melhor volta : DAVID PERALTA - 53.746 (53.59 km/h)


07/09/2024 - 12:12


FINAL C - Final













Dia : RUI ALMEIDA - 53.125


Semana : RUI ALMEIDA - 53.125


Mês : RUI ALMEIDA - 53.125


MELHORES TEMPOS - CRG 390


Recorde da pista : RUI ALMEIDA - 53.125
