Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;55;LUIS FERNANDES;11;;;49.08;52.047;;
2;53;VITOR FERNANDES;11;1.144;1.144;48.99;51.668;;
3;60;GUSTAVO GONÇALVES;11;2.480;1.336;48.88;51.617;;
4;69;HUGO CARVALHIDO;11;3.019;0.539;48.84;51.832;;
5;56;MARCO MONTENEGRO;11;3.398;0.379;48.81;52.062;;
6;74;FILIPE OLIVEIRA;11;8.023;4.625;48.44;52.352;;
7;66;TIAGO LAGINHAS;11;8.648;0.625;48.39;53.102;;
8;61;LUIS CUNHA;11;18.457;9.809;47.63;53.383;;
9;72;NIKITA SIMONOV;11;22.644;4.187;47.31;53.570;;
10;59;ALEKSEI IACHMENEV;11;22.851;0.207;47.30;53.722;;
11;65;MARCO OLIVEIRA;11;30.402;7.551;46.74;54.902;;
12;64;LUIS SOUSA;11;31.820;1.418;46.63;55.157;;
13;73;RUBEN AZEVEDO;11;31.949;0.129;46.62;54.011;;
14;71;MARCO COSTA;11;32.078;0.129;46.61;53.992;;
15;63;ALEXANDRE MEIRELES;11;32.601;0.523;46.57;53.926;;5.000
16;58;MARTIM MAGALHAES;11;33.191;0.590;46.53;54.063;;
17;54;DUARTE SILVA;11;36.695;3.504;46.28;54.894;;
18;67;CLAUDIO OLIVEIRA;11;37.605;0.910;46.21;55.133;;
Melhor volta : GUSTAVO GONÇALVES - 51.617 (52.31 km/h)


12/10/2024 - 09:36


1.AB - Final













Dia : GUSTAVO GONÇALVES - 51.617


Semana : GUSTAVO GONÇALVES - 51.617


Mês : GUSTAVO GONÇALVES - 51.617


MELHORES TEMPOS - CRG 390


Recorde da pista : GUSTAVO GONÇALVES - 51.617
