Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;55;HUGO CARVALHIDO;13;;;54.49;49.090;
2;65;PEDRO NUNES;13;0.309;0.309;54.47;48.969;
3;61;LUIS FERNANDES;13;1.973;1.664;54.33;48.930;
4;67;MARCO MONTENEGRO;13;2.262;0.289;54.30;49.191;
5;71;SANTIAGO MADALENO;13;2.922;0.660;54.25;49.031;
6;58;TIAGO LAGINHAS;13;5.504;2.582;54.03;49.125;
7;64;RICARDO PEDROSO;13;9.391;3.887;53.71;49.359;
8;72;ROBERTO BARBOSA;13;9.571;0.180;53.69;49.270;
9;66;ALEKSEI IACHMENEV;13;12.594;3.023;53.45;49.231;
10;73;CAETANO CARMO;13;14.078;1.484;53.33;49.320;
11;56;JOAO OLIVEIRA;13;15.473;1.395;53.21;49.578;
12;69;ALEXANDRE MEIRELES;13;19.082;3.609;52.92;49.300;
13;53;NICOLAS MACHADO;13;22.641;3.559;52.64;49.778;
14;52;PEDRO ALVES;13;26.281;3.640;52.36;50.153;
15;60;MARCO COSTA;13;27.020;0.739;52.30;49.719;
16;74;MARCO OLIVEIRA;13;29.149;2.129;52.13;50.504;
17;62;MARTIM MAGALHAES;13;29.188;0.039;52.13;50.004;
18;54;MIGUEL SOUSA;13;31.375;2.187;51.96;49.727;
19;59;FILIPE MAGALHAES;13;39.641;8.266;51.33;50.469;
Melhor volta : LUIS FERNANDES - 48.930 (55.18 km/h)


12/10/2024 - 11:07


5.BF - Final













Dia : LUIS FERNANDES - 48.930


Semana : LUIS FERNANDES - 48.930


Mês : LUIS FERNANDES - 48.930


MELHORES TEMPOS - CRG 390


Recorde da pista : LUIS FERNANDES - 48.930
