Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;58;RUI ALMEIDA;12;;;52.86;50.180;
2;60;CARLOS MONTEIRO;12;0.230;0.230;52.84;49.945;
3;56;JOAO PEREIRA;12;5.289;5.059;52.41;50.094;
4;69;FERNANDO GOMES;12;5.418;0.129;52.40;49.930;
5;67;MIGUEL COSTA;12;5.953;0.535;52.35;50.035;
6;72;DIOGO SILVA;12;8.285;0.059;52.16;50.528;
7;52;ALVARO BESSA;12;9.625;1.340;52.04;49.914;
8;62;MARTIM FERREIRA;12;9.789;0.164;52.03;50.219;
9;73;JOAO LEITE;12;14.871;5.082;51.61;49.922;
10;53;TIAGO SILVA;12;15.289;0.418;51.57;50.524;
11;59;ALLEN HUANG;12;15.574;0.285;51.55;50.000;
12;55;DAVID PERALTA;12;16.637;1.063;51.46;50.543;
13;54;AFONSO SERRANO;12;18.226;2.273;52.16;50.020;
14;66;IVO BATISTA;12;22.016;5.379;51.03;50.664;
15;71;JAIME TEIXEIRA;12;25.949;3.933;50.71;50.555;
16;65;FRANCISCO MONTEIRO;12;33.937;7.988;50.09;51.063;
17;64;MIGUEL LOPES;12;34.512;0.575;50.04;51.383;
18;63;ANGEL ROCHA;12;34.746;0.234;50.03;50.926;
Melhor volta : ALVARO BESSA - 49.914 (54.09 km/h)


12/10/2024 - 10:00


2.DC - Final













Dia : ALVARO BESSA - 49.914


Semana : ALVARO BESSA - 49.914


Mês : ALVARO BESSA - 49.914


MELHORES TEMPOS - CRG 390


Recorde da pista : ALVARO BESSA - 49.914
