Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;69;PEDRO NUNES;12;;;53.58;49.730;
2;65;RICARDO PEDROSO;12;0.368;0.368;53.55;49.657;
3;53;ROBERTO BARBOSA;12;0.547;0.179;53.53;49.632;
4;63;DOMINGOS MACHADO;12;1.102;0.555;53.48;49.816;
5;58;TOMAS XAVIER;12;1.328;0.226;53.46;49.094;
6;62;PEDRO SOARES;12;1.586;0.258;53.44;49.754;
7;52;SANTIAGO MADALENO;12;2.028;0.442;53.40;49.590;
8;72;LUIS GUEDES;12;3.047;1.019;53.31;49.738;
9;60;LORENZO SCANFERLA;12;6.125;3.078;53.04;49.500;
10;61;CAETANO CARMO;12;8.578;2.453;52.83;49.957;
11;64;JOAO PAIVA;12;11.516;2.938;52.58;49.934;
12;73;PEDRO ALVES;12;12.231;0.715;52.52;49.992;
13;66;JOAO OLIVEIRA;12;12.477;0.246;52.50;49.953;
14;74;MIGUEL SOUSA;12;12.586;0.109;52.49;49.832;
15;55;FRANCESCO GOMES;12;12.860;0.274;52.47;49.875;
16;54;JOAO ALVES;12;13.098;0.238;52.45;49.746;
17;56;LUIS LOBO;12;13.844;0.746;52.38;49.543;
18;71;NICOLAS MACHADO;12;25.762;11.918;51.39;51.266;
Melhor volta : TOMAS XAVIER - 49.094 (55.00 km/h)


12/10/2024 - 10:21


3.EF - Final













Dia : TOMAS XAVIER - 49.094


Semana : TOMAS XAVIER - 49.094


Mês : TOMAS XAVIER - 49.094


MELHORES TEMPOS - CRG 390


Recorde da pista : TOMAS XAVIER - 49.094
