Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;74;LUIS FERNANDES;12;;;53.61;48.801;;
2;55;PEDRO SOARES;12;0.543;0.543;53.57;48.946;;
3;68;LORENZO SCANFERLA;12;1.015;0.472;53.52;48.953;;
4;70;GUSTAVO GONÇALVES;12;1.605;0.590;53.47;48.570;;3.000
5;75;RICARDO PEDROSO;12;2.273;0.668;53.41;48.707;;
6;61;MARCO MONTENEGRO;12;3.176;0.903;53.33;49.023;;
7;73;PEDRO NUNES;12;3.820;0.644;53.28;48.941;;3.000
8;65;CARLOS MONTEIRO;12;3.890;0.070;53.27;48.918;;3.000
9;63;RUI ALMEIDA;12;5.207;1.317;53.16;49.004;;
10;58;AFONSO SERRANO;12;5.308;0.101;53.15;49.028;;
11;62;TOMAS XAVIER;12;5.785;0.477;53.11;49.070;;
12;72;HUGO CARVALHIDO;12;5.847;0.062;53.10;48.890;;3.000
13;71;LUIS CUNHA;12;5.957;0.110;53.09;49.207;;
14;67;SANTIAGO MADALENO;12;6.109;0.152;53.08;49.133;;
15;69;JOAO PEREIRA;12;6.426;0.317;53.05;49.058;;
16;53;FERNANDO GOMES;12;7.570;1.144;52.95;48.910;;
17;54;ROBERTO BARBOSA;12;9.469;1.899;52.79;49.234;;
18;52;VITOR FERNANDES;12;12.004;2.535;52.57;49.344;;
19;64;MIGUEL COSTA;12;12.191;0.187;52.55;49.605;;
Melhor volta : GUSTAVO GONÇALVES - 48.570 (55.59 km/h)


12/10/2024 - 12:53


FINAL A - Final













Dia : GUSTAVO GONÇALVES - 48.570


Semana : GUSTAVO GONÇALVES - 48.570


Mês : GUSTAVO GONÇALVES - 48.570


MELHORES TEMPOS - CRG 390


Recorde da pista : GUSTAVO GONÇALVES - 48.570
