Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM C


12/10/2024 - Apex Timing GoKarts 4.52.02





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;53;DOMINGOS MACHADO;13;;;53.81;48.805;;
2;73;FILIPE OLIVEIRA;13;4.992;4.992;53.40;48.828;;3.000
3;74;ALEKSEI IACHMENEV;13;6.425;1.433;53.28;49.137;;
4;64;TIAGO LAGINHAS;13;8.800;2.375;53.09;49.289;;
5;67;JOAO PAIVA;13;8.840;0.040;53.09;49.011;;3.000
6;65;LUIS LOBO;13;9.734;0.894;53.02;49.176;;
7;71;LUIS GUEDES;13;12.246;2.512;52.82;49.297;;3.000
8;55;LUIS SOUSA;13;13.078;0.832;52.75;49.551;;
9;60;MARTIM FERREIRA;13;14.570;1.492;52.63;49.636;;
10;68;RUBEN AZEVEDO;13;17.765;3.195;52.38;49.270;;3.000
11;52;NIKITA SIMONOV;13;19.578;1.813;52.24;49.590;;3.000
12;58;ALVARO BESSA;13;20.418;0.840;52.17;49.097;;15.000
13;63;JOAO LEITE;13;22.297;1.879;52.03;49.887;;
14;69;JOAO OLIVEIRA;13;22.765;0.468;51.99;49.465;;
15;62;CAETANO CARMO;13;23.324;0.559;51.95;49.590;;
16;54;DIOGO SILVA;13;24.707;1.383;51.84;50.141;;
17;72;JOAO ALVES;13;24.718;0.011;51.84;49.551;;3.000
18;75;TIAGO SILVA;13;26.031;1.313;51.74;49.817;;3.000
Melhor volta : DOMINGOS MACHADO - 48.805 (55.32 km/h)


12/10/2024 - 12:26


FINAL B - Final













Dia : DOMINGOS MACHADO - 48.805


Semana : DOMINGOS MACHADO - 48.805


Mês : DOMINGOS MACHADO - 48.805


MELHORES TEMPOS - CRG 390


Recorde da pista : DOMINGOS MACHADO - 48.805
